County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	49,286	12,607	20.37%	61,893
ALACHUA	1,516	240	13.67%	1,756
BAKER	510	115	18.40%	625
BAY	476	93	16.34%	569
BRADFORD	5	5	50.00%	10
BREVARD	1,214	429	26.11%	1,643
BROWARD	4,407	902	16.99%	5,309
CALHOUN	9	1	10.00%	10
CHARLOTTE	475	161	25.31%	636
CITRUS	255	52	16.94%	307
CLAY	504	78	13.40%	582
COLLIER	765	144	15.84%	909
COLUMBIA	99	0	0.00%	99
DESOTO	41	17	29.31%	58
DUVAL	2,946	818	21.73%	3,764
ESCAMBIA	1,094	372	25.38%	1,466
FLAGLER	78	21	21.21%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	570	383	40.19%	953
GULF	9	12	57.14%	21
HARDEE	24	0	0.00%	24
HENDRY	15	14	48.28%	29
HERNANDO	577	168	22.55%	745
HIGHLANDS	220	53	19.41%	273
HILLSBOROUGH	3,505	649	15.62%	4,154
HOLMES	14	6	30.00%	20
INDIAN RIVER	334	124	27.07%	458
JACKSON	35	60	63.16%	95
LAKE	705	205	22.53%	910
LEE	1,620	205	11.23%	1,825
LEON	765	108	12.37%	873
MADISON	16	2	11.11%	18
MANATEE	676	98	12.66%	774
MARION	854	88	9.34%	942
MARTIN	290	138	32.24%	428
MIAMI-DADE	6,912	1,719	19.92%	8,631
MONROE	73	96	56.80%	169
NASSAU	40	28	41.18%	68
OKALOOSA	366	88	19.38%	454
OKEECHOBEE	50	50	50.00%	100
ORANGE	3,482	977	21.91%	4,459
OSCEOLA	899	265	22.77%	1,164
PALM BEACH	3,043	951	23.81%	3,994
PASCO	1,195	234	16.38%	1,429
PINELLAS	2,470	866	25.96%	3,336
POLK	1,417	275	16.25%	1,692
PUTNAM	73	11	13.10%	84
SANTA ROSA	127	129	50.39%	256
SARASOTA	1,188	120	9.17%	1,308
SEMINOLE	742	220	22.87%	962
ST. JOHNS	204	127	38.37%	331
ST. LUCIE	800	111	12.18%	911
SUMTER	263	84	24.21%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	49	26	34.67%	75
VOLUSIA	1,162	376	24.45%	1,538
WALTON	61	54	46.96%	115
WASHINGTON	41	18	30.51%	59
