County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,485	15,527	25.04%	62,012
ALACHUA	1,477	301	16.93%	1,778
BAKER	487	138	22.08%	625
BAY	447	96	17.68%	543
BRADFORD	5	5	50.00%	10
BREVARD	1,142	492	30.11%	1,634
BROWARD	4,246	1,031	19.54%	5,277
CALHOUN	3	7	70.00%	10
CHARLOTTE	423	189	30.88%	612
CITRUS	219	76	25.76%	295
CLAY	470	84	15.16%	554
COLLIER	808	131	13.95%	939
COLUMBIA	93	0	0.00%	93
DESOTO	33	26	44.07%	59
DUVAL	2,686	1,064	28.37%	3,750
ESCAMBIA	1,006	457	31.24%	1,463
FLAGLER	89	10	10.10%	99
FRANKLIN	1	12	92.31%	13
GADSDEN	671	282	29.59%	953
GULF	5	16	76.19%	21
HARDEE	25	0	0.00%	25
HENDRY	10	19	65.52%	29
HERNANDO	507	223	30.55%	730
HIGHLANDS	221	36	14.01%	257
HILLSBOROUGH	3,177	920	22.46%	4,097
HOLMES	10	10	50.00%	20
INDIAN RIVER	334	125	27.23%	459
JACKSON	29	68	70.10%	97
LAKE	637	249	28.10%	886
LEE	1,548	301	16.28%	1,849
LEON	718	127	15.03%	845
MADISON	10	5	33.33%	15
MANATEE	629	115	15.46%	744
MARION	815	116	12.46%	931
MARTIN	267	150	35.97%	417
MIAMI-DADE	6,120	2,596	29.78%	8,716
MONROE	68	105	60.69%	173
NASSAU	36	32	47.06%	68
OKALOOSA	378	82	17.83%	460
OKEECHOBEE	49	51	51.00%	100
ORANGE	3,409	1,281	27.31%	4,690
OSCEOLA	882	277	23.90%	1,159
PALM BEACH	2,886	1,150	28.49%	4,036
PASCO	1,129	311	21.60%	1,440
PINELLAS	2,347	769	24.68%	3,116
POLK	1,304	413	24.05%	1,717
PUTNAM	57	27	32.14%	84
SANTA ROSA	112	83	42.56%	195
SARASOTA	1,116	176	13.62%	1,292
SEMINOLE	680	286	29.61%	966
ST. JOHNS	169	163	49.10%	332
ST. LUCIE	688	163	19.15%	851
SUMTER	494	160	24.46%	654
SUWANNEE	0	0		0
TAYLOR	11	37	77.08%	48
UNION	47	23	32.86%	70
VOLUSIA	1,153	390	25.28%	1,543
WALTON	64	50	43.86%	114
WASHINGTON	38	21	35.59%	59
