County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,319	1,637	27.48%	5,956	368	238	39.27%	606
ALACHUA	247	59	19.28%	306	32	15	31.91%	47
BAKER	0	0		0	0	0		0
BAY	50	30	37.50%	80	3	1	25.00%	4
BREVARD	111	53	32.32%	164	0	0		0
BROWARD	356	117	24.74%	473	33	32	49.23%	65
CALHOUN	0	0		0	0	0		0
CHARLOTTE	39	16	29.09%	55	0	0		0
CITRUS	30	7	18.92%	37	0	0		0
CLAY	32	10	23.81%	42	3	3	50.00%	6
COLLIER	51	30	37.04%	81	0	0		0
COLUMBIA	17	3	15.00%	20	0	0		0
DESOTO	6	2	25.00%	8	0	0		0
DUVAL	296	144	32.73%	440	18	22	55.00%	40
ESCAMBIA	103	9	8.04%	112	7	9	56.25%	16
FLAGLER	14	4	22.22%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	54	11	16.92%	65	0	0		0
HIGHLANDS	14	17	54.84%	31	0	0		0
HILLSBOROUGH	311	95	23.40%	406	19	24	55.81%	43
HOLMES	0	0		0	0	0		0
INDIAN RIVER	16	14	46.67%	30	0	0		0
JACKSON	3	3	50.00%	6	0	0		0
LAKE	67	14	17.28%	81	0	0		0
LEE	103	40	27.97%	143	62	28	31.11%	90
LEON	55	17	23.61%	72	0	9	100.00%	9
MADISON	0	0		0	0	0		0
MANATEE	59	31	34.44%	90	0	0		0
MARION	69	39	36.11%	108	0	0		0
MARTIN	13	22	62.86%	35	0	0		0
MIAMI-DADE	692	279	28.73%	971	66	13	16.46%	79
MONROE	3	11	78.57%	14	0	0		0
NASSAU	3	5	62.50%	8	0	0		0
OKALOOSA	33	21	38.89%	54	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	212	86	28.86%	298	75	48	39.02%	123
OSCEOLA	74	23	23.71%	97	1	5	83.33%	6
PALM BEACH	305	94	23.56%	399	13	19	59.38%	32
PASCO	103	35	25.36%	138	0	0		0
PINELLAS	264	61	18.77%	325	31	4	11.43%	35
POLK	103	56	35.22%	159	0	0		0
PUTNAM	7	3	30.00%	10	0	0		0
SANTA ROSA	5	13	72.22%	18	0	0		0
SARASOTA	64	33	34.02%	97	0	0		0
SEMINOLE	51	20	28.17%	71	0	0		0
ST. JOHNS	22	22	50.00%	44	0	0		0
ST. LUCIE	79	11	12.22%	90	4	2	33.33%	6
SUMTER	30	10	25.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	134	55	29.10%	189	1	4	80.00%	5
WALTON	13	10	43.48%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
