County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,727	14,885	24.16%	61,612
ALACHUA	1,460	267	15.46%	1,727
BAKER	522	103	16.48%	625
BAY	455	93	16.97%	548
BRADFORD	5	5	50.00%	10
BREVARD	1,188	445	27.25%	1,633
BROWARD	4,338	1,133	20.71%	5,471
CALHOUN	9	0	0.00%	9
CHARLOTTE	432	181	29.53%	613
CITRUS	231	67	22.48%	298
CLAY	502	67	11.78%	569
COLLIER	737	130	14.99%	867
COLUMBIA	101	0	0.00%	101
DESOTO	47	14	22.95%	61
DUVAL	2,798	958	25.51%	3,756
ESCAMBIA	1,047	409	28.09%	1,456
FLAGLER	98	1	1.01%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	549	404	42.39%	953
GULF	5	16	76.19%	21
HARDEE	25	0	0.00%	25
HENDRY	14	15	51.72%	29
HERNANDO	540	197	26.73%	737
HIGHLANDS	220	37	14.40%	257
HILLSBOROUGH	3,347	807	19.43%	4,154
HOLMES	14	6	30.00%	20
INDIAN RIVER	294	157	34.81%	451
JACKSON	61	35	36.46%	96
LAKE	694	217	23.82%	911
LEE	1,496	302	16.80%	1,798
LEON	684	165	19.43%	849
MADISON	5	10	66.67%	15
MANATEE	654	102	13.49%	756
MARION	828	118	12.47%	946
MARTIN	279	154	35.57%	433
MIAMI-DADE	6,410	2,223	25.75%	8,633
MONROE	66	103	60.95%	169
NASSAU	34	34	50.00%	68
OKALOOSA	347	131	27.41%	478
OKEECHOBEE	46	54	54.00%	100
ORANGE	3,338	1,132	25.32%	4,470
OSCEOLA	844	306	26.61%	1,150
PALM BEACH	2,857	1,137	28.47%	3,994
PASCO	1,157	264	18.58%	1,421
PINELLAS	2,238	1,003	30.95%	3,241
POLK	1,330	394	22.85%	1,724
PUTNAM	63	21	25.00%	84
SANTA ROSA	124	218	63.74%	342
SARASOTA	1,001	48	4.58%	1,049
SEMINOLE	725	219	23.20%	944
ST. JOHNS	178	153	46.22%	331
ST. LUCIE	729	124	14.54%	853
SUMTER	264	83	23.92%	347
SUWANNEE	0	0		0
TAYLOR	1	11	91.67%	12
UNION	43	32	42.67%	75
VOLUSIA	1,144	500	30.41%	1,644
WALTON	63	52	45.22%	115
WASHINGTON	44	15	25.42%	59
