County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,074	1,119	18.07%	6,193	456	235	34.01%	691
ALACHUA	281	27	8.77%	308	43	4	8.51%	47
BAKER	0	0		0	0	0		0
BAY	56	8	12.50%	64	4	0	0.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	135	51	27.42%	186	0	0		0
BROWARD	421	67	13.73%	488	53	30	36.14%	83
CALHOUN	0	0		0	0	0		0
CHARLOTTE	42	10	19.23%	52	0	0		0
CITRUS	37	3	7.50%	40	0	0		0
CLAY	43	7	14.00%	50	5	0	0.00%	5
COLLIER	73	12	14.12%	85	0	0		0
COLUMBIA	18	0	0.00%	18	0	0		0
DESOTO	5	3	37.50%	8	0	0		0
DUVAL	368	69	15.79%	437	23	17	42.50%	40
ESCAMBIA	133	19	12.50%	152	6	10	62.50%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	53	10	15.87%	63	0	0		0
HIGHLANDS	25	1	3.85%	26	0	0		0
HILLSBOROUGH	327	67	17.01%	394	28	24	46.15%	52
HOLMES	0	0		0	0	0		0
INDIAN RIVER	29	5	14.71%	34	0	0		0
JACKSON	4	3	42.86%	7	0	0		0
LAKE	77	27	25.96%	104	0	0		0
LEE	133	15	10.14%	148	74	12	13.95%	86
LEON	67	5	6.94%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	58	10	14.71%	68	0	0		0
MARION	98	11	10.09%	109	0	0		0
MARTIN	16	4	20.00%	20	0	0		0
MIAMI-DADE	767	181	19.09%	948	76	62	44.93%	138
MONROE	6	7	53.85%	13	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	54	0	0.00%	54	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	307	92	23.06%	399	75	41	35.34%	116
OSCEOLA	96	29	23.20%	125	0	0		0
PALM BEACH	292	108	27.00%	400	15	19	55.88%	34
PASCO	120	24	16.67%	144	0	0		0
PINELLAS	254	89	25.95%	343	37	4	9.76%	41
POLK	139	44	24.04%	183	10	4	28.57%	14
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	13	9	40.91%	22	0	0		0
SARASOTA	87	28	24.35%	115	0	0		0
SEMINOLE	63	10	13.70%	73	0	0		0
ST. JOHNS	26	18	40.91%	44	0	0		0
ST. LUCIE	82	8	8.89%	90	5	1	16.67%	6
SUMTER	39	1	2.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	169	28	14.21%	197	0	0		0
WALTON	21	1	4.55%	22	0	0		0
WASHINGTON	0	0		0	0	0		0
