County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	43,867	17,192	28.16%	61,059
ALACHUA	1,454	262	15.27%	1,716
BAKER	465	160	25.60%	625
BAY	426	108	20.22%	534
BRADFORD	5	5	50.00%	10
BREVARD	1,170	446	27.60%	1,616
BROWARD	3,951	1,190	23.15%	5,141
CALHOUN	6	4	40.00%	10
CHARLOTTE	390	212	35.22%	602
CITRUS	193	101	34.35%	294
CLAY	668	106	13.70%	774
COLLIER	639	199	23.75%	838
COLUMBIA	90	1	1.10%	91
DESOTO	7	48	87.27%	55
DUVAL	2,654	1,081	28.94%	3,735
ESCAMBIA	1,011	478	32.10%	1,489
FLAGLER	93	6	6.06%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	741	212	22.25%	953
GULF	9	12	57.14%	21
HARDEE	23	1	4.17%	24
HENDRY	14	15	51.72%	29
HERNANDO	479	250	34.29%	729
HIGHLANDS	187	68	26.67%	255
HILLSBOROUGH	3,037	1,019	25.12%	4,056
HOLMES	11	9	45.00%	20
INDIAN RIVER	292	167	36.38%	459
JACKSON	33	63	65.63%	96
LAKE	654	243	27.09%	897
LEE	1,343	507	27.41%	1,850
LEON	740	112	13.15%	852
MADISON	6	9	60.00%	15
MANATEE	629	126	16.69%	755
MARION	764	130	14.54%	894
MARTIN	230	278	54.72%	508
MIAMI-DADE	5,921	2,557	30.16%	8,478
MONROE	87	78	47.27%	165
NASSAU	30	38	55.88%	68
OKALOOSA	331	120	26.61%	451
OKEECHOBEE	59	41	41.00%	100
ORANGE	3,190	1,148	26.46%	4,338
OSCEOLA	802	348	30.26%	1,150
PALM BEACH	2,616	1,434	35.41%	4,050
PASCO	1,093	291	21.03%	1,384
PINELLAS	2,142	1,018	32.22%	3,160
POLK	1,163	529	31.26%	1,692
PUTNAM	67	17	20.24%	84
SANTA ROSA	110	246	69.10%	356
SARASOTA	892	291	24.60%	1,183
SEMINOLE	634	278	30.48%	912
ST. JOHNS	173	157	47.58%	330
ST. LUCIE	689	185	21.17%	874
SUMTER	210	137	39.48%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	67	28	29.47%	95
VOLUSIA	1,085	512	32.06%	1,597
WALTON	53	64	54.70%	117
WASHINGTON	36	23	38.98%	59
