County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,211	14,705	23.75%	61,916
ALACHUA	1,484	249	14.37%	1,733
BAKER	467	158	25.28%	625
BAY	454	86	15.93%	540
BRADFORD	5	5	50.00%	10
BREVARD	1,269	362	22.19%	1,631
BROWARD	5,381	1,067	16.55%	6,448
CALHOUN	2	8	80.00%	10
CHARLOTTE	407	222	35.29%	629
CITRUS	232	66	22.15%	298
CLAY	473	80	14.47%	553
COLLIER	676	175	20.56%	851
COLUMBIA	92	0	0.00%	92
DESOTO	20	35	63.64%	55
DUVAL	2,765	802	22.48%	3,567
ESCAMBIA	1,108	381	25.59%	1,489
FLAGLER	95	4	4.04%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	745	208	21.83%	953
GULF	4	17	80.95%	21
HARDEE	21	4	16.00%	25
HENDRY	15	14	48.28%	29
HERNANDO	496	264	34.74%	760
HIGHLANDS	204	52	20.31%	256
HILLSBOROUGH	3,154	604	16.07%	3,758
HOLMES	9	11	55.00%	20
INDIAN RIVER	326	137	29.59%	463
JACKSON	31	64	67.37%	95
LAKE	716	179	20.00%	895
LEE	1,428	420	22.73%	1,848
LEON	757	106	12.28%	863
MADISON	7	8	53.33%	15
MANATEE	659	120	15.40%	779
MARION	803	101	11.17%	904
MARTIN	227	279	55.14%	506
MIAMI-DADE	6,223	2,286	26.87%	8,509
MONROE	105	32	23.36%	137
NASSAU	32	36	52.94%	68
OKALOOSA	357	95	21.02%	452
OKEECHOBEE	56	44	44.00%	100
ORANGE	3,333	1,050	23.96%	4,383
OSCEOLA	819	327	28.53%	1,146
PALM BEACH	2,741	1,324	32.57%	4,065
PASCO	1,156	233	16.77%	1,389
PINELLAS	2,322	838	26.52%	3,160
POLK	1,245	394	24.04%	1,639
PUTNAM	61	23	27.38%	84
SANTA ROSA	134	222	62.36%	356
SARASOTA	1,043	251	19.40%	1,294
SEMINOLE	685	227	24.89%	912
ST. JOHNS	203	127	38.48%	330
ST. LUCIE	642	229	26.29%	871
SUMTER	227	120	34.58%	347
SUWANNEE	0	0		0
TAYLOR	2	10	83.33%	12
UNION	67	30	30.93%	97
VOLUSIA	1,122	432	27.80%	1,554
WALTON	60	57	48.72%	117
WASHINGTON	44	15	25.42%	59
