County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	43,780	16,579	27.47%	60,359
ALACHUA	1,433	280	16.35%	1,713
BAKER	450	175	28.00%	625
BAY	425	98	18.74%	523
BRADFORD	5	5	50.00%	10
BREVARD	1,129	473	29.53%	1,602
BROWARD	3,886	1,245	24.26%	5,131
CALHOUN	6	4	40.00%	10
CHARLOTTE	392	205	34.34%	597
CITRUS	201	93	31.63%	294
CLAY	482	83	14.69%	565
COLLIER	600	221	26.92%	821
COLUMBIA	98	0	0.00%	98
DESOTO	17	38	69.09%	55
DUVAL	2,695	831	23.57%	3,526
ESCAMBIA	1,014	445	30.50%	1,459
FLAGLER	88	11	11.11%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	709	244	25.60%	953
GULF	6	15	71.43%	21
HARDEE	22	0	0.00%	22
HENDRY	10	19	65.52%	29
HERNANDO	502	236	31.98%	738
HIGHLANDS	213	43	16.80%	256
HILLSBOROUGH	3,169	632	16.63%	3,801
HOLMES	18	2	10.00%	20
INDIAN RIVER	287	169	37.06%	456
JACKSON	32	65	67.01%	97
LAKE	604	298	33.04%	902
LEE	1,334	490	26.86%	1,824
LEON	695	152	17.95%	847
MADISON	9	6	40.00%	15
MANATEE	590	133	18.40%	723
MARION	777	126	13.95%	903
MARTIN	229	276	54.65%	505
MIAMI-DADE	5,933	2,626	30.68%	8,559
MONROE	90	78	46.43%	168
NASSAU	35	33	48.53%	68
OKALOOSA	366	93	20.26%	459
OKEECHOBEE	59	41	41.00%	100
ORANGE	3,111	1,281	29.17%	4,392
OSCEOLA	850	302	26.22%	1,152
PALM BEACH	2,562	1,444	36.05%	4,006
PASCO	1,088	255	18.99%	1,343
PINELLAS	2,162	1,087	33.46%	3,249
POLK	1,220	396	24.50%	1,616
PUTNAM	58	26	30.95%	84
SANTA ROSA	112	227	66.96%	339
SARASOTA	951	247	20.62%	1,198
SEMINOLE	673	251	27.16%	924
ST. JOHNS	189	137	42.02%	326
ST. LUCIE	695	181	20.66%	876
SUMTER	249	98	28.24%	347
SUWANNEE	0	0		0
TAYLOR	6	6	50.00%	12
UNION	64	27	29.67%	91
VOLUSIA	1,095	524	32.37%	1,619
WALTON	46	71	60.68%	117
WASHINGTON	37	22	37.29%	59
