County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,940	15,410	25.53%	60,350
ALACHUA	1,437	255	15.07%	1,692
BAKER	485	140	22.40%	625
BAY	440	119	21.29%	559
BRADFORD	5	5	50.00%	10
BREVARD	1,153	430	27.16%	1,583
BROWARD	4,011	1,014	20.18%	5,025
CALHOUN	9	1	10.00%	10
CHARLOTTE	438	280	39.00%	718
CITRUS	199	91	31.38%	290
CLAY	470	78	14.23%	548
COLLIER	653	181	21.70%	834
COLUMBIA	96	9	8.57%	105
DESOTO	20	35	63.64%	55
DUVAL	2,723	1,010	27.06%	3,733
ESCAMBIA	1,014	473	31.81%	1,487
FLAGLER	71	28	28.28%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	766	187	19.62%	953
GULF	4	17	80.95%	21
HARDEE	25	0	0.00%	25
HENDRY	7	22	75.86%	29
HERNANDO	494	220	30.81%	714
HIGHLANDS	209	45	17.72%	254
HILLSBOROUGH	3,062	668	17.91%	3,730
HOLMES	9	11	55.00%	20
INDIAN RIVER	284	167	37.03%	451
JACKSON	33	69	67.65%	102
LAKE	686	215	23.86%	901
LEE	1,393	472	25.31%	1,865
LEON	726	125	14.69%	851
MADISON	4	11	73.33%	15
MANATEE	614	143	18.89%	757
MARION	775	144	15.67%	919
MARTIN	235	255	52.04%	490
MIAMI-DADE	6,425	2,157	25.13%	8,582
MONROE	83	29	25.89%	112
NASSAU	34	34	50.00%	68
OKALOOSA	326	124	27.56%	450
OKEECHOBEE	45	55	55.00%	100
ORANGE	3,329	978	22.71%	4,307
OSCEOLA	810	336	29.32%	1,146
PALM BEACH	2,638	1,386	34.44%	4,024
PASCO	1,011	380	27.32%	1,391
PINELLAS	2,203	809	26.86%	3,012
POLK	1,283	364	22.10%	1,647
PUTNAM	57	27	32.14%	84
SANTA ROSA	155	197	55.97%	352
SARASOTA	972	241	19.87%	1,213
SEMINOLE	691	243	26.02%	934
ST. JOHNS	199	131	39.70%	330
ST. LUCIE	659	215	24.60%	874
SUMTER	225	122	35.16%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	65	62	48.82%	127
VOLUSIA	1,080	497	31.52%	1,577
WALTON	59	58	49.57%	117
WASHINGTON	37	22	37.29%	59
