County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,879	1,208	19.85%	6,087	399	199	33.28%	598
ALACHUA	271	37	12.01%	308	35	12	25.53%	47
BAKER	0	0		0	0	0		0
BAY	57	5	8.06%	62	0	4	100.00%	4
BREVARD	121	42	25.77%	163	0	0		0
BROWARD	387	82	17.48%	469	37	23	38.33%	60
CALHOUN	0	0		0	0	0		0
CHARLOTTE	41	8	16.33%	49	0	0		0
CITRUS	26	12	31.58%	38	0	0		0
CLAY	38	4	9.52%	42	5	1	16.67%	6
COLLIER	65	16	19.75%	81	0	0		0
COLUMBIA	21	1	4.55%	22	0	0		0
DESOTO	8	0	0.00%	8	0	0		0
DUVAL	330	110	25.00%	440	19	21	52.50%	40
ESCAMBIA	110	8	6.78%	118	7	9	56.25%	16
FLAGLER	12	6	33.33%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	55	16	22.54%	71	0	0		0
HIGHLANDS	21	16	43.24%	37	0	0		0
HILLSBOROUGH	371	49	11.67%	420	20	21	51.22%	41
HOLMES	0	0		0	0	0		0
INDIAN RIVER	23	11	32.35%	34	0	0		0
JACKSON	4	2	33.33%	6	0	0		0
LAKE	61	27	30.68%	88	0	0		0
LEE	88	26	22.81%	114	55	28	33.73%	83
LEON	64	8	11.11%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	61	34	35.79%	95	0	0		0
MARION	75	30	28.57%	105	0	0		0
MARTIN	11	24	68.57%	35	0	0		0
MIAMI-DADE	800	218	21.41%	1,018	66	14	17.50%	80
MONROE	7	7	50.00%	14	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	49	7	12.50%	56	0	0		0
OKEECHOBEE	7	1	12.50%	8	0	0		0
ORANGE	270	57	17.43%	327	86	27	23.89%	113
OSCEOLA	84	14	14.29%	98	1	5	83.33%	6
PALM BEACH	310	100	24.39%	410	18	14	43.75%	32
PASCO	135	3	2.17%	138	0	0		0
PINELLAS	276	47	14.55%	323	44	6	12.00%	50
POLK	153	20	11.56%	173	0	0		0
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	11	12	52.17%	23	0	0		0
SARASOTA	72	44	37.93%	116	0	0		0
SEMINOLE	62	9	12.68%	71	0	0		0
ST. JOHNS	26	18	40.91%	44	0	0		0
ST. LUCIE	82	8	8.89%	90	5	1	16.67%	6
SUMTER	30	10	25.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	159	43	21.29%	202	0	5	100.00%	5
WALTON	9	14	60.87%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
