County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,610	1,425	23.61%	6,035	442	216	32.83%	658
ALACHUA	280	28	9.09%	308	37	10	21.28%	47
BAKER	0	0		0	0	0		0
BAY	56	6	9.68%	62	4	0	0.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	121	45	27.11%	166	0	0		0
BROWARD	337	104	23.58%	441	43	33	43.42%	76
CALHOUN	0	0		0	0	0		0
CHARLOTTE	44	5	10.20%	49	0	0		0
CITRUS	30	10	25.00%	40	0	0		0
CLAY	47	15	24.19%	62	2	2	50.00%	4
COLLIER	53	32	37.65%	85	0	0		0
COLUMBIA	14	0	0.00%	14	0	0		0
DESOTO	1	7	87.50%	8	0	0		0
DUVAL	333	93	21.83%	426	24	16	40.00%	40
ESCAMBIA	133	8	5.67%	141	11	5	31.25%	16
FLAGLER	13	5	27.78%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	44	18	29.03%	62	0	0		0
HIGHLANDS	23	5	17.86%	28	0	0		0
HILLSBOROUGH	319	55	14.71%	374	25	11	30.56%	36
HOLMES	0	0		0	0	0		0
INDIAN RIVER	27	5	15.63%	32	0	0		0
JACKSON	6	2	25.00%	8	0	0		0
LAKE	68	36	34.62%	104	0	0		0
LEE	103	34	24.82%	137	70	16	18.60%	86
LEON	62	10	13.89%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	58	14	19.44%	72	0	0		0
MARION	79	8	9.20%	87	0	0		0
MARTIN	18	21	53.85%	39	0	0		0
MIAMI-DADE	753	199	20.90%	952	76	43	36.13%	119
MONROE	8	5	38.46%	13	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	47	7	12.96%	54	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	263	141	34.90%	404	88	38	30.16%	126
OSCEOLA	84	43	33.86%	127	0	0		0
PALM BEACH	239	154	39.19%	393	15	18	54.55%	33
PASCO	103	22	17.60%	125	0	0		0
PINELLAS	248	47	15.93%	295	32	5	13.51%	37
POLK	138	42	23.33%	180	9	5	35.71%	14
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	13	9	40.91%	22	0	0		0
SARASOTA	64	46	41.82%	110	0	0		0
SEMINOLE	60	13	17.81%	73	0	0		0
ST. JOHNS	25	19	43.18%	44	0	0		0
ST. LUCIE	74	15	16.85%	89	4	2	33.33%	6
SUMTER	30	10	25.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	157	69	30.53%	226	0	5	100.00%	5
WALTON	11	12	52.17%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
