County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,121	16,091	26.29%	61,212
ALACHUA	1,422	279	16.40%	1,701
BAKER	488	139	22.17%	627
BAY	436	108	19.85%	544
BRADFORD	5	5	50.00%	10
BREVARD	1,220	408	25.06%	1,628
BROWARD	4,052	1,067	20.84%	5,119
CALHOUN	6	4	40.00%	10
CHARLOTTE	426	185	30.28%	611
CITRUS	212	85	28.62%	297
CLAY	479	95	16.55%	574
COLLIER	597	156	20.72%	753
COLUMBIA	95	0	0.00%	95
DESOTO	18	37	67.27%	55
DUVAL	2,751	889	24.42%	3,640
ESCAMBIA	1,071	400	27.19%	1,471
FLAGLER	82	17	17.17%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	630	323	33.89%	953
GULF	5	16	76.19%	21
HARDEE	25	0	0.00%	25
HENDRY	8	21	72.41%	29
HERNANDO	503	228	31.19%	731
HIGHLANDS	207	49	19.14%	256
HILLSBOROUGH	3,184	600	15.86%	3,784
HOLMES	12	8	40.00%	20
INDIAN RIVER	303	158	34.27%	461
JACKSON	36	50	58.14%	86
LAKE	704	209	22.89%	913
LEE	1,383	421	23.34%	1,804
LEON	681	170	19.98%	851
MADISON	5	10	66.67%	15
MANATEE	630	140	18.18%	770
MARION	750	153	16.94%	903
MARTIN	253	259	50.59%	512
MIAMI-DADE	6,105	2,490	28.97%	8,595
MONROE	81	86	51.50%	167
NASSAU	28	40	58.82%	68
OKALOOSA	363	91	20.04%	454
OKEECHOBEE	52	48	48.00%	100
ORANGE	3,347	1,569	31.92%	4,916
OSCEOLA	860	290	25.22%	1,150
PALM BEACH	2,662	1,463	35.47%	4,125
PASCO	1,112	231	17.20%	1,343
PINELLAS	2,291	870	27.52%	3,161
POLK	1,273	380	22.99%	1,653
PUTNAM	61	23	27.38%	84
SANTA ROSA	125	214	63.13%	339
SARASOTA	1,015	270	21.01%	1,285
SEMINOLE	705	230	24.60%	935
ST. JOHNS	183	148	44.71%	331
ST. LUCIE	695	179	20.48%	874
SUMTER	248	99	28.53%	347
SUWANNEE	0	0		0
TAYLOR	2	10	83.33%	12
UNION	64	28	30.43%	92
VOLUSIA	1,075	547	33.72%	1,622
WALTON	49	68	58.12%	117
WASHINGTON	46	13	22.03%	59
