County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,456	14,464	23.36%	61,920
ALACHUA	1,463	280	16.06%	1,743
BAKER	478	147	23.52%	625
BAY	462	95	17.06%	557
BRADFORD	5	5	50.00%	10
BREVARD	1,191	461	27.91%	1,652
BROWARD	4,249	1,032	19.54%	5,281
CALHOUN	3	7	70.00%	10
CHARLOTTE	421	181	30.07%	602
CITRUS	223	68	23.37%	291
CLAY	477	54	10.17%	531
COLLIER	798	122	13.26%	920
COLUMBIA	108	0	0.00%	108
DESOTO	19	39	67.24%	58
DUVAL	2,650	1,106	29.45%	3,756
ESCAMBIA	998	485	32.70%	1,483
FLAGLER	96	3	3.03%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	667	286	30.01%	953
GULF	8	13	61.90%	21
HARDEE	22	3	12.00%	25
HENDRY	7	22	75.86%	29
HERNANDO	553	178	24.35%	731
HIGHLANDS	238	21	8.11%	259
HILLSBOROUGH	3,284	872	20.98%	4,156
HOLMES	11	9	45.00%	20
INDIAN RIVER	372	85	18.60%	457
JACKSON	40	52	56.52%	92
LAKE	726	187	20.48%	913
LEE	1,555	300	16.17%	1,855
LEON	770	85	9.94%	855
MADISON	16	0	0.00%	16
MANATEE	627	153	19.62%	780
MARION	859	112	11.53%	971
MARTIN	284	164	36.61%	448
MIAMI-DADE	6,624	2,129	24.32%	8,753
MONROE	71	98	57.99%	169
NASSAU	32	36	52.94%	68
OKALOOSA	373	89	19.26%	462
OKEECHOBEE	47	53	53.00%	100
ORANGE	3,397	1,195	26.02%	4,592
OSCEOLA	924	218	19.09%	1,142
PALM BEACH	2,947	1,107	27.31%	4,054
PASCO	1,085	288	20.98%	1,373
PINELLAS	2,344	793	25.28%	3,137
POLK	1,541	430	21.82%	1,971
PUTNAM	67	17	20.24%	84
SANTA ROSA	117	145	55.34%	262
SARASOTA	1,048	169	13.89%	1,217
SEMINOLE	730	207	22.09%	937
ST. JOHNS	183	149	44.88%	332
ST. LUCIE	745	125	14.37%	870
SUMTER	247	100	28.82%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	44	31	41.33%	75
VOLUSIA	1,090	378	25.75%	1,468
WALTON	66	48	42.11%	114
WASHINGTON	47	12	20.34%	59
