County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,924	1,214	19.78%	6,138	398	270	40.42%	668
ALACHUA	271	51	15.84%	322	35	12	25.53%	47
BAKER	0	0		0	0	0		0
BAY	48	16	25.00%	64	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	123	45	26.79%	168	0	0		0
BROWARD	376	87	18.79%	463	41	41	50.00%	82
CALHOUN	0	0		0	0	0		0
CHARLOTTE	48	3	5.88%	51	0	0		0
CITRUS	32	8	20.00%	40	0	0		0
CLAY	41	10	19.61%	51	3	1	25.00%	4
COLLIER	66	19	22.35%	85	0	0		0
COLUMBIA	18	0	0.00%	18	0	0		0
DESOTO	8	0	0.00%	8	0	0		0
DUVAL	351	83	19.12%	434	17	23	57.50%	40
ESCAMBIA	138	3	2.13%	141	5	11	68.75%	16
FLAGLER	12	6	33.33%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	39	23	37.10%	62	0	0		0
HIGHLANDS	21	9	30.00%	30	0	0		0
HILLSBOROUGH	338	54	13.78%	392	20	22	52.38%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	22	10	31.25%	32	0	0		0
JACKSON	7	3	30.00%	10	0	0		0
LAKE	78	26	25.00%	104	0	0		0
LEE	122	17	12.23%	139	62	24	27.91%	86
LEON	72	0	0.00%	72	5	4	44.44%	9
MADISON	0	0		0	0	0		0
MANATEE	64	10	13.51%	74	0	0		0
MARION	78	10	11.36%	88	0	0		0
MARTIN	12	9	42.86%	21	0	0		0
MIAMI-DADE	772	180	18.91%	952	62	51	45.13%	113
MONROE	6	7	53.85%	13	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	49	5	9.26%	54	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	272	126	31.66%	398	82	44	34.92%	126
OSCEOLA	88	35	28.46%	123	0	0		0
PALM BEACH	285	118	29.28%	403	14	19	57.58%	33
PASCO	134	13	8.84%	147	0	0		0
PINELLAS	266	63	19.15%	329	36	5	12.20%	41
POLK	167	16	8.74%	183	11	3	21.43%	14
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	15	8	34.78%	23	0	0		0
SARASOTA	80	28	25.93%	108	0	0		0
SEMINOLE	67	6	8.22%	73	0	0		0
ST. JOHNS	27	17	38.64%	44	0	0		0
ST. LUCIE	75	11	12.79%	86	4	2	33.33%	6
SUMTER	35	5	12.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	164	58	26.13%	222	0	5	100.00%	5
WALTON	13	10	43.48%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
