County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	49,070	13,013	20.96%	62,083
ALACHUA	1,538	233	13.16%	1,771
BAKER	478	147	23.52%	625
BAY	477	86	15.28%	563
BRADFORD	5	5	50.00%	10
BREVARD	1,258	395	23.90%	1,653
BROWARD	4,360	977	18.31%	5,337
CALHOUN	0	10	100.00%	10
CHARLOTTE	454	141	23.70%	595
CITRUS	232	62	21.09%	294
CLAY	487	75	13.35%	562
COLLIER	831	103	11.03%	934
COLUMBIA	91	0	0.00%	91
DESOTO	29	28	49.12%	57
DUVAL	2,943	830	22.00%	3,773
ESCAMBIA	1,095	388	26.16%	1,483
FLAGLER	96	3	3.03%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	668	285	29.91%	953
GULF	8	13	61.90%	21
HARDEE	22	3	12.00%	25
HENDRY	9	20	68.97%	29
HERNANDO	595	140	19.05%	735
HIGHLANDS	239	28	10.49%	267
HILLSBOROUGH	3,320	778	18.98%	4,098
HOLMES	12	8	40.00%	20
INDIAN RIVER	403	71	14.98%	474
JACKSON	46	46	50.00%	92
LAKE	751	160	17.56%	911
LEE	1,593	244	13.28%	1,837
LEON	758	97	11.35%	855
MADISON	15	0	0.00%	15
MANATEE	662	132	16.62%	794
MARION	896	83	8.48%	979
MARTIN	267	176	39.73%	443
MIAMI-DADE	6,700	2,098	23.85%	8,798
MONROE	74	96	56.47%	170
NASSAU	45	23	33.82%	68
OKALOOSA	375	84	18.30%	459
OKEECHOBEE	46	54	54.00%	100
ORANGE	3,493	1,115	24.20%	4,608
OSCEOLA	952	192	16.78%	1,144
PALM BEACH	3,077	998	24.49%	4,075
PASCO	1,139	313	21.56%	1,452
PINELLAS	2,511	683	21.38%	3,194
POLK	1,442	281	16.31%	1,723
PUTNAM	67	17	20.24%	84
SANTA ROSA	124	133	51.75%	257
SARASOTA	1,139	99	8.00%	1,238
SEMINOLE	734	223	23.30%	957
ST. JOHNS	211	121	36.45%	332
ST. LUCIE	757	127	14.37%	884
SUMTER	260	87	25.07%	347
SUWANNEE	0	0		0
TAYLOR	6	8	57.14%	14
UNION	42	33	44.00%	75
VOLUSIA	1,110	401	26.54%	1,511
WALTON	81	33	28.95%	114
WASHINGTON	45	14	23.73%	59
