County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,792	13,070	21.83%	59,862
ALACHUA	1,317	332	20.13%	1,649
BAKER	514	104	16.83%	618
BAY	389	145	27.15%	534
BREVARD	1,198	349	22.56%	1,547
BROWARD	4,509	1,004	18.21%	5,513
CALHOUN	6	4	40.00%	10
CHARLOTTE	457	245	34.90%	702
CITRUS	222	91	29.07%	313
CLAY	468	73	13.49%	541
COLLIER	753	138	15.49%	891
COLUMBIA	110	20	15.38%	130
DESOTO	37	18	32.73%	55
DUVAL	2,933	984	25.12%	3,917
ESCAMBIA	1,024	320	23.81%	1,344
FLAGLER	103	9	8.04%	112
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	3	18	85.71%	21
HARDEE	23	2	8.00%	25
HENDRY	13	16	55.17%	29
HERNANDO	507	233	31.49%	740
HIGHLANDS	197	76	27.84%	273
HILLSBOROUGH	3,314	615	15.65%	3,929
HOLMES	11	9	45.00%	20
INDIAN RIVER	315	149	32.11%	464
JACKSON	61	23	27.38%	84
LAKE	735	135	15.52%	870
LEE	1,465	288	16.43%	1,753
LEON	698	198	22.10%	896
MADISON	8	7	46.67%	15
MANATEE	660	137	17.19%	797
MARION	798	117	12.79%	915
MARTIN	254	536	67.85%	790
MIAMI-DADE	6,654	1,768	20.99%	8,422
MONROE	80	35	30.43%	115
NASSAU	36	50	58.14%	86
OKALOOSA	368	96	20.69%	464
OKEECHOBEE	53	47	47.00%	100
ORANGE	3,384	677	16.67%	4,061
OSCEOLA	866	199	18.69%	1,065
PALM BEACH	2,994	1,191	28.46%	4,185
PASCO	1,125	244	17.82%	1,369
PINELLAS	2,439	542	18.18%	2,981
POLK	1,353	230	14.53%	1,583
PUTNAM	62	22	26.19%	84
SANTA ROSA	146	200	57.80%	346
SARASOTA	1,038	245	19.10%	1,283
SEMINOLE	754	139	15.57%	893
ST. JOHNS	168	162	49.09%	330
ST. LUCIE	741	145	16.37%	886
SUMTER	191	156	44.96%	347
SUWANNEE	0	0		0
TAYLOR	4	12	75.00%	16
UNION	57	68	54.40%	125
VOLUSIA	1,074	359	25.05%	1,433
WALTON	53	64	54.70%	117
WASHINGTON	49	10	16.95%	59
