County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,375	15,174	25.06%	60,549
ALACHUA	1,468	236	13.85%	1,704
BAKER	470	155	24.80%	625
BAY	463	103	18.20%	566
BRADFORD	5	5	50.00%	10
BREVARD	1,208	392	24.50%	1,600
BROWARD	4,135	1,104	21.07%	5,239
CALHOUN	6	4	40.00%	10
CHARLOTTE	410	209	33.76%	619
CITRUS	226	69	23.39%	295
CLAY	452	113	20.00%	565
COLLIER	719	179	19.93%	898
COLUMBIA	94	0	0.00%	94
DESOTO	16	39	70.91%	55
DUVAL	2,776	986	26.21%	3,762
ESCAMBIA	1,055	422	28.57%	1,477
FLAGLER	85	14	14.14%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	749	204	21.41%	953
GULF	6	15	71.43%	21
HARDEE	23	2	8.00%	25
HENDRY	6	23	79.31%	29
HERNANDO	474	282	37.30%	756
HIGHLANDS	167	62	27.07%	229
HILLSBOROUGH	2,968	740	19.96%	3,708
HOLMES	5	15	75.00%	20
INDIAN RIVER	291	157	35.04%	448
JACKSON	42	54	56.25%	96
LAKE	730	184	20.13%	914
LEE	1,471	366	19.92%	1,837
LEON	722	141	16.34%	863
MADISON	8	7	46.67%	15
MANATEE	618	130	17.38%	748
MARION	830	104	11.13%	934
MARTIN	236	270	53.36%	506
MIAMI-DADE	6,201	2,271	26.81%	8,472
MONROE	108	25	18.80%	133
NASSAU	35	33	48.53%	68
OKALOOSA	334	117	25.94%	451
OKEECHOBEE	48	52	52.00%	100
ORANGE	3,341	1,057	24.03%	4,398
OSCEOLA	826	319	27.86%	1,145
PALM BEACH	2,743	1,297	32.10%	4,040
PASCO	1,086	307	22.04%	1,393
PINELLAS	2,179	885	28.88%	3,064
POLK	1,260	339	21.20%	1,599
PUTNAM	66	18	21.43%	84
SANTA ROSA	126	226	64.20%	352
SARASOTA	946	242	20.37%	1,188
SEMINOLE	667	273	29.04%	940
ST. JOHNS	205	125	37.88%	330
ST. LUCIE	721	153	17.51%	874
SUMTER	248	99	28.53%	347
SUWANNEE	0	0		0
TAYLOR	9	3	25.00%	12
UNION	60	40	40.00%	100
VOLUSIA	1,130	418	27.00%	1,548
WALTON	57	60	51.28%	117
WASHINGTON	44	15	25.42%	59
