County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,320	15,942	26.02%	61,262
ALACHUA	1,460	287	16.43%	1,747
BAKER	511	114	18.24%	625
BAY	450	100	18.18%	550
BRADFORD	5	5	50.00%	10
BREVARD	1,114	506	31.23%	1,620
BROWARD	4,064	1,133	21.80%	5,197
CALHOUN	18	2	10.00%	20
CHARLOTTE	428	198	31.63%	626
CITRUS	238	76	24.20%	314
CLAY	463	157	25.32%	620
COLLIER	714	141	16.49%	855
COLUMBIA	101	0	0.00%	101
DESOTO	38	17	30.91%	55
DUVAL	2,715	1,066	28.19%	3,781
ESCAMBIA	1,052	404	27.75%	1,456
FLAGLER	95	4	4.04%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	552	401	42.08%	953
GULF	6	15	71.43%	21
HARDEE	23	2	8.00%	25
HENDRY	4	25	86.21%	29
HERNANDO	568	167	22.72%	735
HIGHLANDS	213	48	18.39%	261
HILLSBOROUGH	3,181	904	22.13%	4,085
HOLMES	14	6	30.00%	20
INDIAN RIVER	298	149	33.33%	447
JACKSON	52	47	47.47%	99
LAKE	678	245	26.54%	923
LEE	1,439	360	20.01%	1,799
LEON	762	105	12.11%	867
MADISON	9	6	40.00%	15
MANATEE	633	125	16.49%	758
MARION	779	113	12.67%	892
MARTIN	269	158	37.00%	427
MIAMI-DADE	6,254	2,378	27.55%	8,632
MONROE	76	92	54.76%	168
NASSAU	45	23	33.82%	68
OKALOOSA	341	112	24.72%	453
OKEECHOBEE	53	47	47.00%	100
ORANGE	3,170	1,234	28.02%	4,404
OSCEOLA	838	309	26.94%	1,147
PALM BEACH	2,741	1,284	31.90%	4,025
PASCO	1,122	222	16.52%	1,344
PINELLAS	2,277	999	30.49%	3,276
POLK	1,227	446	26.66%	1,673
PUTNAM	58	26	30.95%	84
SANTA ROSA	126	226	64.20%	352
SARASOTA	1,011	211	17.27%	1,222
SEMINOLE	708	225	24.12%	933
ST. JOHNS	192	139	41.99%	331
ST. LUCIE	666	185	21.74%	851
SUMTER	255	92	26.51%	347
SUWANNEE	0	0		0
TAYLOR	2	10	83.33%	12
UNION	47	28	37.33%	75
VOLUSIA	1,059	485	31.41%	1,544
WALTON	55	60	52.17%	115
WASHINGTON	49	10	16.95%	59
