County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	43,435	17,948	29.24%	61,383
ALACHUA	1,411	314	18.20%	1,725
BAKER	518	107	17.12%	625
BAY	428	137	24.25%	565
BRADFORD	5	5	50.00%	10
BREVARD	1,127	496	30.56%	1,623
BROWARD	3,950	1,400	26.17%	5,350
CALHOUN	6	4	40.00%	10
CHARLOTTE	419	201	32.42%	620
CITRUS	203	125	38.11%	328
CLAY	478	73	13.25%	551
COLLIER	718	153	17.57%	871
COLUMBIA	91	0	0.00%	91
DESOTO	32	27	45.76%	59
DUVAL	2,561	1,281	33.34%	3,842
ESCAMBIA	952	504	34.62%	1,456
FLAGLER	87	12	12.12%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	547	406	42.60%	953
GULF	3	19	86.36%	22
HARDEE	25	0	0.00%	25
HENDRY	3	28	90.32%	31
HERNANDO	509	213	29.50%	722
HIGHLANDS	185	76	29.12%	261
HILLSBOROUGH	2,965	1,117	27.36%	4,082
HOLMES	14	6	30.00%	20
INDIAN RIVER	299	152	33.70%	451
JACKSON	57	39	40.63%	96
LAKE	581	301	34.13%	882
LEE	1,631	367	18.37%	1,998
LEON	637	197	23.62%	834
MADISON	8	7	46.67%	15
MANATEE	579	154	21.01%	733
MARION	790	121	13.28%	911
MARTIN	283	149	34.49%	432
MIAMI-DADE	6,006	2,640	30.53%	8,646
MONROE	63	109	63.37%	172
NASSAU	24	44	64.71%	68
OKALOOSA	329	120	26.73%	449
OKEECHOBEE	45	55	55.00%	100
ORANGE	3,150	1,363	30.20%	4,513
OSCEOLA	799	344	30.10%	1,143
PALM BEACH	2,659	1,232	31.66%	3,891
PASCO	1,039	378	26.68%	1,417
PINELLAS	2,156	1,097	33.72%	3,253
POLK	1,186	507	29.95%	1,693
PUTNAM	55	29	34.52%	84
SANTA ROSA	116	226	66.08%	342
SARASOTA	902	91	9.16%	993
SEMINOLE	638	312	32.84%	950
ST. JOHNS	159	172	51.96%	331
ST. LUCIE	659	192	22.56%	851
SUMTER	238	109	31.41%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	45	30	40.00%	75
VOLUSIA	976	595	37.87%	1,571
WALTON	45	70	60.87%	115
WASHINGTON	37	22	37.29%	59
