County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,686	1,445	23.57%	6,131	398	276	40.95%	674
ALACHUA	277	31	10.06%	308	39	8	17.02%	47
BAKER	0	0		0	0	0		0
BAY	52	3	5.45%	55	0	4	100.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	126	39	23.64%	165	0	0		0
BROWARD	368	106	22.36%	474	49	35	41.67%	84
CALHOUN	0	0		0	0	0		0
CHARLOTTE	50	5	9.09%	55	0	0		0
CITRUS	34	6	15.00%	40	0	0		0
CLAY	44	6	12.00%	50	3	1	25.00%	4
COLLIER	63	22	25.88%	85	0	0		0
COLUMBIA	12	0	0.00%	12	0	0		0
DESOTO	6	2	25.00%	8	0	0		0
DUVAL	318	117	26.90%	435	18	22	55.00%	40
ESCAMBIA	113	28	19.86%	141	4	12	75.00%	16
FLAGLER	15	3	16.67%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	47	15	24.19%	62	0	0		0
HIGHLANDS	26	2	7.14%	28	0	0		0
HILLSBOROUGH	313	76	19.54%	389	23	17	42.50%	40
HOLMES	0	0		0	0	0		0
INDIAN RIVER	23	8	25.81%	31	0	0		0
JACKSON	11	1	8.33%	12	0	0		0
LAKE	63	41	39.42%	104	0	0		0
LEE	116	24	17.14%	140	52	34	39.53%	86
LEON	68	3	4.23%	71	5	4	44.44%	9
MADISON	0	0		0	0	0		0
MANATEE	66	6	8.33%	72	0	0		0
MARION	83	8	8.79%	91	0	0		0
MARTIN	16	7	30.43%	23	0	0		0
MIAMI-DADE	739	219	22.86%	958	62	48	43.64%	110
MONROE	10	3	23.08%	13	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	44	10	18.52%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	271	127	31.91%	398	78	48	38.10%	126
OSCEOLA	88	35	28.46%	123	0	0		0
PALM BEACH	253	149	37.06%	402	10	22	68.75%	32
PASCO	112	21	15.79%	133	0	0		0
PINELLAS	258	71	21.58%	329	39	5	11.36%	44
POLK	134	48	26.37%	182	14	12	46.15%	26
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	6	13	68.42%	19	0	0		0
SARASOTA	77	32	29.36%	109	0	0		0
SEMINOLE	63	10	13.70%	73	0	0		0
ST. JOHNS	24	20	45.45%	44	0	0		0
ST. LUCIE	77	13	14.44%	90	2	4	66.67%	6
SUMTER	31	9	22.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	150	92	38.02%	242	0	0		0
WALTON	15	8	34.78%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
