County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,647	11,805	19.86%	59,452
ALACHUA	1,354	295	17.89%	1,649
BAKER	516	102	16.50%	618
BAY	413	112	21.33%	525
BREVARD	1,219	367	23.14%	1,586
BROWARD	4,489	961	17.63%	5,450
CALHOUN	5	5	50.00%	10
CHARLOTTE	459	238	34.15%	697
CITRUS	249	80	24.32%	329
CLAY	479	74	13.38%	553
COLLIER	769	108	12.31%	877
COLUMBIA	114	17	12.98%	131
DESOTO	37	18	32.73%	55
DUVAL	3,025	826	21.45%	3,851
ESCAMBIA	997	357	26.37%	1,354
FLAGLER	103	9	8.04%	112
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	3	18	85.71%	21
HARDEE	24	1	4.00%	25
HENDRY	11	18	62.07%	29
HERNANDO	577	157	21.39%	734
HIGHLANDS	182	91	33.33%	273
HILLSBOROUGH	3,299	591	15.19%	3,890
HOLMES	11	9	45.00%	20
INDIAN RIVER	313	150	32.40%	463
JACKSON	66	15	18.52%	81
LAKE	741	142	16.08%	883
LEE	1,438	241	14.35%	1,679
LEON	742	153	17.09%	895
MADISON	8	7	46.67%	15
MANATEE	718	101	12.33%	819
MARION	786	121	13.34%	907
MARTIN	261	229	46.73%	490
MIAMI-DADE	6,839	1,760	20.47%	8,599
MONROE	72	40	35.71%	112
NASSAU	36	50	58.14%	86
OKALOOSA	375	81	17.76%	456
OKEECHOBEE	57	43	43.00%	100
ORANGE	3,465	610	14.97%	4,075
OSCEOLA	858	167	16.29%	1,025
PALM BEACH	3,077	1,129	26.84%	4,206
PASCO	1,182	202	14.60%	1,384
PINELLAS	2,523	358	12.43%	2,881
POLK	1,352	239	15.02%	1,591
PUTNAM	59	25	29.76%	84
SANTA ROSA	153	192	55.65%	345
SARASOTA	1,016	268	20.87%	1,284
SEMINOLE	766	148	16.19%	914
ST. JOHNS	167	157	48.46%	324
ST. LUCIE	779	127	14.02%	906
SUMTER	203	144	41.50%	347
SUWANNEE	0	0		0
TAYLOR	6	10	62.50%	16
UNION	56	69	55.20%	125
VOLUSIA	1,102	278	20.14%	1,380
WALTON	49	68	58.12%	117
WASHINGTON	46	13	22.03%	59
