County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,586	1,439	23.88%	6,025	403	254	38.66%	657
ALACHUA	265	43	13.96%	308	36	11	23.40%	47
BAKER	0	0		0	0	0		0
BAY	46	8	14.81%	54	2	2	50.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	137	40	22.60%	177	0	0		0
BROWARD	362	94	20.61%	456	46	35	43.21%	81
CALHOUN	0	0		0	0	0		0
CHARLOTTE	45	6	11.76%	51	0	0		0
CITRUS	35	5	12.50%	40	0	0		0
CLAY	36	13	26.53%	49	4	0	0.00%	4
COLLIER	57	28	32.94%	85	0	0		0
COLUMBIA	18	0	0.00%	18	0	0		0
DESOTO	5	3	37.50%	8	0	0		0
DUVAL	341	96	21.97%	437	22	18	45.00%	40
ESCAMBIA	114	27	19.15%	141	5	11	68.75%	16
FLAGLER	14	4	22.22%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	40	22	35.48%	62	0	0		0
HIGHLANDS	18	9	33.33%	27	0	0		0
HILLSBOROUGH	314	68	17.80%	382	22	20	47.62%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	22	10	31.25%	32	0	0		0
JACKSON	7	5	41.67%	12	0	0		0
LAKE	68	36	34.62%	104	0	0		0
LEE	111	29	20.71%	140	53	33	38.37%	86
LEON	64	8	11.11%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	50	18	26.47%	68	0	0		0
MARION	75	6	7.41%	81	0	0		0
MARTIN	11	14	56.00%	25	0	0		0
MIAMI-DADE	691	221	24.23%	912	66	45	40.54%	111
MONROE	8	5	38.46%	13	0	0		0
NASSAU	5	3	37.50%	8	0	0		0
OKALOOSA	49	5	9.26%	54	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	288	112	28.00%	400	88	38	30.16%	126
OSCEOLA	87	36	29.27%	123	0	0		0
PALM BEACH	263	135	33.92%	398	15	17	53.13%	32
PASCO	99	28	22.05%	127	0	0		0
PINELLAS	254	72	22.09%	326	32	5	13.51%	37
POLK	130	47	26.55%	177	6	5	45.45%	11
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	7	13	65.00%	20	0	0		0
SARASOTA	73	36	33.03%	109	0	0		0
SEMINOLE	61	13	17.57%	74	0	0		0
ST. JOHNS	26	18	40.91%	44	0	0		0
ST. LUCIE	73	17	18.89%	90	5	1	16.67%	6
SUMTER	34	6	15.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	154	64	29.36%	218	0	5	100.00%	5
WALTON	14	9	39.13%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
