County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,879	1,283	20.82%	6,162	385	234	37.80%	619
ALACHUA	269	39	12.66%	308	41	6	12.77%	47
BAKER	0	0		0	0	0		0
BAY	62	6	8.82%	68	3	1	25.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	136	40	22.73%	176	0	0		0
BROWARD	444	69	13.45%	513	33	24	42.11%	57
CALHOUN	0	0		0	0	0		0
CHARLOTTE	42	7	14.29%	49	0	0		0
CITRUS	33	7	17.50%	40	0	0		0
CLAY	40	2	4.76%	42	5	9	64.29%	14
COLLIER	51	33	39.29%	84	0	0		0
COLUMBIA	12	0	0.00%	12	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	330	111	25.17%	441	20	20	50.00%	40
ESCAMBIA	136	11	7.48%	147	7	9	56.25%	16
FLAGLER	12	6	33.33%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	49	13	20.97%	62	0	0		0
HIGHLANDS	26	7	21.21%	33	0	0		0
HILLSBOROUGH	313	64	16.98%	377	26	15	36.59%	41
HOLMES	0	0		0	0	0		0
INDIAN RIVER	27	5	15.63%	32	0	0		0
JACKSON	8	6	42.86%	14	0	0		0
LAKE	77	27	25.96%	104	0	0		0
LEE	75	86	53.42%	161	63	23	26.74%	86
LEON	61	11	15.28%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	51	17	25.00%	68	0	0		0
MARION	70	9	11.39%	79	0	0		0
MARTIN	8	31	79.49%	39	0	0		0
MIAMI-DADE	853	142	14.27%	995	58	43	42.57%	101
MONROE	9	0	0.00%	9	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	49	5	9.26%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	275	97	26.08%	372	70	42	37.50%	112
OSCEOLA	92	37	28.68%	129	0	6	100.00%	6
PALM BEACH	296	119	28.67%	415	22	10	31.25%	32
PASCO	110	22	16.67%	132	0	0		0
PINELLAS	232	65	21.89%	297	31	12	27.91%	43
POLK	147	13	8.13%	160	0	0		0
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	10	11	52.38%	21	0	0		0
SARASOTA	73	35	32.41%	108	0	0		0
SEMINOLE	62	12	16.22%	74	0	0		0
ST. JOHNS	26	18	40.91%	44	0	0		0
ST. LUCIE	70	20	22.22%	90	4	2	33.33%	6
SUMTER	35	5	12.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	165	61	26.99%	226	0	5	100.00%	5
WALTON	12	11	47.83%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
