County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,130	14,829	24.33%	60,959
ALACHUA	1,464	281	16.10%	1,745
BAKER	505	120	19.20%	625
BAY	417	124	22.92%	541
BRADFORD	5	5	50.00%	10
BREVARD	1,179	448	27.54%	1,627
BROWARD	4,228	1,009	19.27%	5,237
CALHOUN	10	0	0.00%	10
CHARLOTTE	464	161	25.76%	625
CITRUS	222	77	25.75%	299
CLAY	507	84	14.21%	591
COLLIER	732	133	15.38%	865
COLUMBIA	102	0	0.00%	102
DESOTO	33	25	43.10%	58
DUVAL	2,681	1,051	28.16%	3,732
ESCAMBIA	998	468	31.92%	1,466
FLAGLER	78	21	21.21%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	582	371	38.93%	953
GULF	7	15	68.18%	22
HARDEE	23	2	8.00%	25
HENDRY	14	15	51.72%	29
HERNANDO	508	233	31.44%	741
HIGHLANDS	215	49	18.56%	264
HILLSBOROUGH	3,285	880	21.13%	4,165
HOLMES	14	6	30.00%	20
INDIAN RIVER	289	149	34.02%	438
JACKSON	43	56	56.57%	99
LAKE	682	213	23.80%	895
LEE	1,492	314	17.39%	1,806
LEON	746	125	14.35%	871
MADISON	15	2	11.76%	17
MANATEE	664	104	13.54%	768
MARION	801	138	14.70%	939
MARTIN	281	147	34.35%	428
MIAMI-DADE	6,496	2,122	24.62%	8,618
MONROE	66	103	60.95%	169
NASSAU	42	26	38.24%	68
OKALOOSA	330	121	26.83%	451
OKEECHOBEE	41	59	59.00%	100
ORANGE	3,256	1,122	25.63%	4,378
OSCEOLA	873	276	24.02%	1,149
PALM BEACH	2,684	1,202	30.93%	3,886
PASCO	1,111	298	21.15%	1,409
PINELLAS	2,314	788	25.40%	3,102
POLK	1,306	379	22.49%	1,685
PUTNAM	47	37	44.05%	84
SANTA ROSA	118	125	51.44%	243
SARASOTA	1,064	145	11.99%	1,209
SEMINOLE	690	254	26.91%	944
ST. JOHNS	194	137	41.39%	331
ST. LUCIE	761	108	12.43%	869
SUMTER	222	125	36.02%	347
SUWANNEE	0	0		0
TAYLOR	6	6	50.00%	12
UNION	46	29	38.67%	75
VOLUSIA	1,081	448	29.30%	1,529
WALTON	53	62	53.91%	115
WASHINGTON	42	17	28.81%	59
