County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,180	13,253	21.93%	60,433
ALACHUA	1,482	231	13.49%	1,713
BAKER	125	500	80.00%	625
BAY	443	122	21.59%	565
BRADFORD	5	5	50.00%	10
BREVARD	1,172	413	26.06%	1,585
BROWARD	4,569	886	16.24%	5,455
CALHOUN	5	5	50.00%	10
CHARLOTTE	480	223	31.72%	703
CITRUS	223	72	24.41%	295
CLAY	488	86	14.98%	574
COLLIER	705	172	19.61%	877
COLUMBIA	118	14	10.61%	132
DESOTO	34	21	38.18%	55
DUVAL	2,816	907	24.36%	3,723
ESCAMBIA	1,116	302	21.30%	1,418
FLAGLER	91	8	8.08%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	0	0		0
GULF	7	14	66.67%	21
HARDEE	23	2	8.00%	25
HENDRY	16	13	44.83%	29
HERNANDO	536	197	26.88%	733
HIGHLANDS	195	69	26.14%	264
HILLSBOROUGH	3,245	618	16.00%	3,863
HOLMES	7	13	65.00%	20
INDIAN RIVER	343	120	25.92%	463
JACKSON	47	57	54.81%	104
LAKE	696	198	22.15%	894
LEE	1,500	250	14.29%	1,750
LEON	736	127	14.72%	863
MADISON	7	8	53.33%	15
MANATEE	665	111	14.30%	776
MARION	793	102	11.40%	895
MARTIN	245	245	50.00%	490
MIAMI-DADE	7,360	1,540	17.30%	8,900
MONROE	94	17	15.32%	111
NASSAU	33	25	43.10%	58
OKALOOSA	371	82	18.10%	453
OKEECHOBEE	49	51	51.00%	100
ORANGE	3,408	1,084	24.13%	4,492
OSCEOLA	798	288	26.52%	1,086
PALM BEACH	2,953	1,213	29.12%	4,166
PASCO	1,114	308	21.66%	1,422
PINELLAS	2,357	573	19.56%	2,930
POLK	1,313	339	20.52%	1,652
PUTNAM	53	31	36.90%	84
SANTA ROSA	152	194	56.07%	346
SARASOTA	1,022	220	17.71%	1,242
SEMINOLE	722	203	21.95%	925
ST. JOHNS	201	129	39.09%	330
ST. LUCIE	749	137	15.46%	886
SUMTER	239	108	31.12%	347
SUWANNEE	0	0		0
TAYLOR	3	8	72.73%	11
UNION	53	72	57.60%	125
VOLUSIA	1,077	455	29.70%	1,532
WALTON	77	40	34.19%	117
WASHINGTON	47	12	20.34%	59
