County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,000	1,165	18.90%	6,165	431	243	36.05%	674
ALACHUA	283	25	8.12%	308	40	7	14.89%	47
BAKER	0	0		0	0	0		0
BAY	60	4	6.25%	64	0	4	100.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	122	56	31.46%	178	0	0		0
BROWARD	435	58	11.76%	493	49	32	39.51%	81
CALHOUN	0	0		0	0	0		0
CHARLOTTE	45	7	13.46%	52	0	0		0
CITRUS	37	4	9.76%	41	0	0		0
CLAY	39	11	22.00%	50	2	2	50.00%	4
COLLIER	64	21	24.71%	85	0	0		0
COLUMBIA	16	0	0.00%	16	0	0		0
DESOTO	6	2	25.00%	8	0	0		0
DUVAL	336	101	23.11%	437	21	7	25.00%	28
ESCAMBIA	125	16	11.35%	141	8	8	50.00%	16
FLAGLER	14	4	22.22%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	3	100.00%	3	0	0		0
HERNANDO	53	11	17.19%	64	0	0		0
HIGHLANDS	27	2	6.90%	29	0	0		0
HILLSBOROUGH	333	68	16.96%	401	22	20	47.62%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	25	5	16.67%	30	0	0		0
JACKSON	4	3	42.86%	7	0	0		0
LAKE	76	28	26.92%	104	0	0		0
LEE	133	19	12.50%	152	65	21	24.42%	86
LEON	62	10	13.89%	72	6	3	33.33%	9
MADISON	0	0		0	0	0		0
MANATEE	61	6	8.96%	67	0	0		0
MARION	76	18	19.15%	94	0	0		0
MARTIN	17	4	19.05%	21	0	0		0
MIAMI-DADE	754	179	19.19%	933	66	62	48.44%	128
MONROE	11	6	35.29%	17	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	52	4	7.14%	56	0	0		0
OKEECHOBEE	5	3	37.50%	8	0	0		0
ORANGE	301	97	24.37%	398	79	47	37.30%	126
OSCEOLA	97	27	21.77%	124	0	0		0
PALM BEACH	302	116	27.75%	418	17	15	46.88%	32
PASCO	124	11	8.15%	135	0	0		0
PINELLAS	243	82	25.23%	325	41	5	10.87%	46
POLK	153	30	16.39%	183	7	7	50.00%	14
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	9	2	18.18%	11	0	0		0
SARASOTA	83	30	26.55%	113	0	0		0
SEMINOLE	65	8	10.96%	73	0	0		0
ST. JOHNS	22	22	50.00%	44	0	0		0
ST. LUCIE	78	12	13.33%	90	6	0	0.00%	6
SUMTER	36	4	10.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	5	100.00%	5	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	177	40	18.43%	217	2	3	60.00%	5
WALTON	22	0	0.00%	22	0	0		0
WASHINGTON	0	0		0	0	0		0
