County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,040	1,135	18.38%	6,175	399	223	35.85%	622
ALACHUA	267	41	13.31%	308	38	9	19.15%	47
BAKER	0	0		0	0	0		0
BAY	63	5	7.35%	68	2	2	50.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	137	39	22.16%	176	0	0		0
BROWARD	454	63	12.19%	517	34	24	41.38%	58
CALHOUN	0	0		0	0	0		0
CHARLOTTE	42	7	14.29%	49	0	0		0
CITRUS	36	4	10.00%	40	0	0		0
CLAY	38	4	9.52%	42	3	11	78.57%	14
COLLIER	55	27	32.93%	82	0	0		0
COLUMBIA	12	0	0.00%	12	0	0		0
DESOTO	8	0	0.00%	8	0	0		0
DUVAL	336	105	23.81%	441	16	24	60.00%	40
ESCAMBIA	138	9	6.12%	147	6	10	62.50%	16
FLAGLER	15	3	16.67%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	56	6	9.68%	62	0	0		0
HIGHLANDS	28	6	17.65%	34	0	0		0
HILLSBOROUGH	330	43	11.53%	373	31	10	24.39%	41
HOLMES	0	0		0	0	0		0
INDIAN RIVER	24	8	25.00%	32	0	0		0
JACKSON	10	7	41.18%	17	0	0		0
LAKE	78	26	25.00%	104	0	0		0
LEE	98	43	30.50%	141	62	24	27.91%	86
LEON	64	8	11.11%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	57	11	16.18%	68	0	0		0
MARION	78	8	9.30%	86	0	0		0
MARTIN	11	28	71.79%	39	0	0		0
MIAMI-DADE	844	131	13.44%	975	64	40	38.46%	104
MONROE	7	3	30.00%	10	0	0		0
NASSAU	5	3	37.50%	8	0	0		0
OKALOOSA	47	7	12.96%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	297	75	20.16%	372	82	30	26.79%	112
OSCEOLA	88	41	31.78%	129	0	6	100.00%	6
PALM BEACH	309	120	27.97%	429	23	9	28.13%	32
PASCO	118	16	11.94%	134	0	0		0
PINELLAS	246	55	18.27%	301	34	8	19.05%	42
POLK	161	21	11.54%	182	0	0		0
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	9	10	52.63%	19	0	0		0
SARASOTA	74	34	31.48%	108	0	0		0
SEMINOLE	59	14	19.18%	73	0	0		0
ST. JOHNS	27	17	38.64%	44	0	0		0
ST. LUCIE	72	18	20.00%	90	2	4	66.67%	6
SUMTER	35	5	12.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	178	52	22.61%	230	0	5	100.00%	5
WALTON	11	12	52.17%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
