County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,705	1,358	22.40%	6,063	392	233	37.28%	625
ALACHUA	281	27	8.77%	308	41	6	12.77%	47
BAKER	0	0		0	0	0		0
BAY	46	4	8.00%	50	0	4	100.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	130	37	22.16%	167	0	0		0
BROWARD	387	134	25.72%	521	34	24	41.38%	58
CALHOUN	0	0		0	0	0		0
CHARLOTTE	42	7	14.29%	49	0	0		0
CITRUS	32	8	20.00%	40	0	0		0
CLAY	42	8	16.00%	50	2	2	50.00%	4
COLLIER	56	29	34.12%	85	0	0		0
COLUMBIA	15	0	0.00%	15	0	0		0
DESOTO	4	4	50.00%	8	0	0		0
DUVAL	328	109	24.94%	437	25	15	37.50%	40
ESCAMBIA	129	12	8.51%	141	6	10	62.50%	16
FLAGLER	13	5	27.78%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	51	11	17.74%	62	0	0		0
HIGHLANDS	25	9	26.47%	34	0	0		0
HILLSBOROUGH	335	41	10.90%	376	18	19	51.35%	37
HOLMES	0	0		0	0	0		0
INDIAN RIVER	22	9	29.03%	31	0	0		0
JACKSON	2	6	75.00%	8	0	0		0
LAKE	68	36	34.62%	104	0	0		0
LEE	111	29	20.71%	140	62	24	27.91%	86
LEON	59	13	18.06%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	51	12	19.05%	63	0	0		0
MARION	83	4	4.60%	87	0	0		0
MARTIN	14	25	64.10%	39	0	0		0
MIAMI-DADE	750	194	20.55%	944	76	55	41.98%	131
MONROE	8	5	38.46%	13	0	0		0
NASSAU	4	4	50.00%	8	0	0		0
OKALOOSA	45	9	16.67%	54	0	0		0
OKEECHOBEE	7	1	12.50%	8	0	0		0
ORANGE	271	133	32.92%	404	84	28	25.00%	112
OSCEOLA	94	29	23.58%	123	0	6	100.00%	6
PALM BEACH	264	142	34.98%	406	16	16	50.00%	32
PASCO	119	11	8.46%	130	0	0		0
PINELLAS	232	59	20.27%	291	24	8	25.00%	32
POLK	140	8	5.41%	148	0	0		0
PUTNAM	5	5	50.00%	10	0	0		0
SANTA ROSA	8	14	63.64%	22	0	0		0
SARASOTA	66	42	38.89%	108	0	0		0
SEMINOLE	65	8	10.96%	73	0	0		0
ST. JOHNS	28	16	36.36%	44	0	0		0
ST. LUCIE	78	11	12.36%	89	2	4	66.67%	6
SUMTER	31	9	22.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	157	59	27.31%	216	0	5	100.00%	5
WALTON	7	16	69.57%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
