County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,837	1,508	23.77%	6,345	367	297	44.73%	664
ALACHUA	248	60	19.48%	308	32	15	31.91%	47
BAKER	0	0		0	0	0		0
BAY	48	17	26.15%	65	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	133	33	19.88%	166	0	0		0
BROWARD	344	112	24.56%	456	34	47	58.02%	81
CALHOUN	0	0		0	0	0		0
CHARLOTTE	46	5	9.80%	51	0	0		0
CITRUS	37	3	7.50%	40	0	0		0
CLAY	42	8	16.00%	50	2	2	50.00%	4
COLLIER	60	25	29.41%	85	0	0		0
COLUMBIA	10	0	0.00%	10	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	329	122	27.05%	451	19	21	52.50%	40
ESCAMBIA	121	20	14.18%	141	5	11	68.75%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	40	22	35.48%	62	0	0		0
HIGHLANDS	33	4	10.81%	37	0	0		0
HILLSBOROUGH	304	85	21.85%	389	25	17	40.48%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	15	15	50.00%	30	0	0		0
JACKSON	11	0	0.00%	11	0	0		0
LAKE	66	38	36.54%	104	0	0		0
LEE	314	22	6.55%	336	63	23	26.74%	86
LEON	56	16	22.22%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	54	14	20.59%	68	0	0		0
MARION	75	10	11.76%	85	0	0		0
MARTIN	23	0	0.00%	23	0	0		0
MIAMI-DADE	773	187	19.48%	960	68	45	39.82%	113
MONROE	8	5	38.46%	13	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	49	5	9.26%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	245	155	38.75%	400	62	74	54.41%	136
OSCEOLA	68	55	44.72%	123	0	0		0
PALM BEACH	284	127	30.90%	411	19	14	42.42%	33
PASCO	128	25	16.34%	153	0	0		0
PINELLAS	255	72	22.02%	327	23	5	17.86%	28
POLK	135	45	25.00%	180	10	4	28.57%	14
PUTNAM	7	3	30.00%	10	0	0		0
SANTA ROSA	15	9	37.50%	24	0	0		0
SARASOTA	76	32	29.63%	108	0	0		0
SEMINOLE	60	13	17.81%	73	0	0		0
ST. JOHNS	17	27	61.36%	44	0	0		0
ST. LUCIE	75	15	16.67%	90	3	3	50.00%	6
SUMTER	32	8	20.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	155	71	31.42%	226	0	5	100.00%	5
WALTON	7	16	69.57%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
