County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	49,557	12,922	20.68%	62,479
ALACHUA	1,527	267	14.88%	1,794
BAKER	479	149	23.73%	628
BAY	497	71	12.50%	568
BRADFORD	5	5	50.00%	10
BREVARD	1,231	411	25.03%	1,642
BROWARD	4,427	958	17.79%	5,385
CALHOUN	2	8	80.00%	10
CHARLOTTE	475	143	23.14%	618
CITRUS	218	92	29.68%	310
CLAY	472	77	14.03%	549
COLLIER	812	132	13.98%	944
COLUMBIA	99	0	0.00%	99
DESOTO	23	35	60.34%	58
DUVAL	2,796	773	21.66%	3,569
ESCAMBIA	1,091	382	25.93%	1,473
FLAGLER	97	2	2.02%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	677	276	28.96%	953
GULF	4	17	80.95%	21
HARDEE	24	1	4.00%	25
HENDRY	8	21	72.41%	29
HERNANDO	565	198	25.95%	763
HIGHLANDS	275	7	2.48%	282
HILLSBOROUGH	3,351	874	20.69%	4,225
HOLMES	11	9	45.00%	20
INDIAN RIVER	337	124	26.90%	461
JACKSON	43	41	48.81%	84
LAKE	790	163	17.10%	953
LEE	1,579	248	13.57%	1,827
LEON	778	92	10.57%	870
MADISON	11	4	26.67%	15
MANATEE	692	104	13.07%	796
MARION	855	102	10.66%	957
MARTIN	295	128	30.26%	423
MIAMI-DADE	6,623	1,993	23.13%	8,616
MONROE	79	94	54.34%	173
NASSAU	47	29	38.16%	76
OKALOOSA	384	76	16.52%	460
OKEECHOBEE	64	36	36.00%	100
ORANGE	3,545	1,138	24.30%	4,683
OSCEOLA	930	208	18.28%	1,138
PALM BEACH	3,126	1,041	24.98%	4,167
PASCO	1,235	229	15.64%	1,464
PINELLAS	2,474	676	21.46%	3,150
POLK	1,447	288	16.60%	1,735
PUTNAM	63	21	25.00%	84
SANTA ROSA	127	69	35.20%	196
SARASOTA	1,132	153	11.91%	1,285
SEMINOLE	800	139	14.80%	939
ST. JOHNS	221	111	33.43%	332
ST. LUCIE	765	96	11.15%	861
SUMTER	510	144	22.02%	654
SUWANNEE	0	0		0
TAYLOR	8	9	52.94%	17
UNION	54	16	22.86%	70
VOLUSIA	1,265	364	22.34%	1,629
WALTON	61	53	46.49%	114
WASHINGTON	48	13	21.31%	61
