County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,364	14,184	22.68%	62,548
ALACHUA	1,492	613	29.12%	2,105
BAKER	478	147	23.52%	625
BAY	436	110	20.15%	546
BRADFORD	5	5	50.00%	10
BREVARD	1,255	372	22.86%	1,627
BROWARD	4,474	947	17.47%	5,421
CALHOUN	8	2	20.00%	10
CHARLOTTE	451	158	25.94%	609
CITRUS	223	88	28.30%	311
CLAY	438	104	19.19%	542
COLLIER	809	123	13.20%	932
COLUMBIA	101	0	0.00%	101
DESOTO	14	45	76.27%	59
DUVAL	2,839	917	24.41%	3,756
ESCAMBIA	1,032	438	29.80%	1,470
FLAGLER	93	6	6.06%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	691	262	27.49%	953
GULF	3	18	85.71%	21
HARDEE	25	0	0.00%	25
HENDRY	7	22	75.86%	29
HERNANDO	446	211	32.12%	657
HIGHLANDS	241	9	3.60%	250
HILLSBOROUGH	3,322	734	18.10%	4,056
HOLMES	14	6	30.00%	20
INDIAN RIVER	353	107	23.26%	460
JACKSON	29	64	68.82%	93
LAKE	728	199	21.47%	927
LEE	1,638	196	10.69%	1,834
LEON	747	109	12.73%	856
MADISON	10	5	33.33%	15
MANATEE	659	108	14.08%	767
MARION	813	139	14.60%	952
MARTIN	295	119	28.74%	414
MIAMI-DADE	6,715	2,266	25.23%	8,981
MONROE	77	84	52.17%	161
NASSAU	47	21	30.88%	68
OKALOOSA	348	121	25.80%	469
OKEECHOBEE	59	41	41.00%	100
ORANGE	3,501	1,164	24.95%	4,665
OSCEOLA	921	257	21.82%	1,178
PALM BEACH	2,959	1,153	28.04%	4,112
PASCO	1,154	284	19.75%	1,438
PINELLAS	2,405	765	24.13%	3,170
POLK	1,373	345	20.08%	1,718
PUTNAM	65	19	22.62%	84
SANTA ROSA	83	108	56.54%	191
SARASOTA	1,130	168	12.94%	1,298
SEMINOLE	747	213	22.19%	960
ST. JOHNS	200	132	39.76%	332
ST. LUCIE	756	122	13.90%	878
SUMTER	254	93	26.80%	347
SUWANNEE	0	0		0
TAYLOR	10	38	79.17%	48
UNION	46	24	34.29%	70
VOLUSIA	1,242	298	19.35%	1,540
WALTON	59	55	48.25%	114
WASHINGTON	43	16	27.12%	59
