County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,933	16,397	26.74%	61,330
ALACHUA	1,449	285	16.44%	1,734
BAKER	518	107	17.12%	625
BAY	439	97	18.10%	536
BRADFORD	5	5	50.00%	10
BREVARD	1,153	454	28.25%	1,607
BROWARD	4,093	1,315	24.32%	5,408
CALHOUN	8	2	20.00%	10
CHARLOTTE	468	150	24.27%	618
CITRUS	209	95	31.25%	304
CLAY	500	76	13.19%	576
COLLIER	737	121	14.10%	858
COLUMBIA	99	0	0.00%	99
DESOTO	24	35	59.32%	59
DUVAL	2,655	1,105	29.39%	3,760
ESCAMBIA	951	515	35.13%	1,466
FLAGLER	92	7	7.07%	99
FRANKLIN	5	10	66.67%	15
GADSDEN	547	406	42.60%	953
GULF	0	22	100.00%	22
HARDEE	25	0	0.00%	25
HENDRY	6	25	80.65%	31
HERNANDO	526	198	27.35%	724
HIGHLANDS	223	39	14.89%	262
HILLSBOROUGH	3,129	1,054	25.20%	4,183
HOLMES	15	5	25.00%	20
INDIAN RIVER	302	146	32.59%	448
JACKSON	66	28	29.79%	94
LAKE	640	269	29.59%	909
LEE	1,473	331	18.35%	1,804
LEON	692	154	18.20%	846
MADISON	10	5	33.33%	15
MANATEE	678	102	13.08%	780
MARION	823	110	11.79%	933
MARTIN	266	163	38.00%	429
MIAMI-DADE	6,232	2,422	27.99%	8,654
MONROE	58	111	65.68%	169
NASSAU	25	43	63.24%	68
OKALOOSA	336	116	25.66%	452
OKEECHOBEE	54	46	46.00%	100
ORANGE	3,053	1,361	30.83%	4,414
OSCEOLA	809	333	29.16%	1,142
PALM BEACH	2,784	1,136	28.98%	3,920
PASCO	1,105	316	22.24%	1,421
PINELLAS	2,284	970	29.81%	3,254
POLK	1,270	422	24.94%	1,692
PUTNAM	67	17	20.24%	84
SANTA ROSA	117	227	65.99%	344
SARASOTA	918	84	8.38%	1,002
SEMINOLE	693	258	27.13%	951
ST. JOHNS	163	169	50.90%	332
ST. LUCIE	682	169	19.86%	851
SUMTER	254	93	26.80%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	44	30	40.54%	74
VOLUSIA	1,080	531	32.96%	1,611
WALTON	38	77	66.96%	115
WASHINGTON	36	23	38.98%	59
