County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,208	14,584	23.60%	61,792
ALACHUA	1,431	268	15.77%	1,699
BAKER	482	143	22.88%	625
BAY	421	122	22.47%	543
BRADFORD	5	5	50.00%	10
BREVARD	1,175	471	28.61%	1,646
BROWARD	4,241	1,035	19.62%	5,276
CALHOUN	5	5	50.00%	10
CHARLOTTE	419	187	30.86%	606
CITRUS	203	99	32.78%	302
CLAY	492	92	15.75%	584
COLLIER	760	146	16.11%	906
COLUMBIA	104	0	0.00%	104
DESOTO	25	37	59.68%	62
DUVAL	2,714	1,003	26.98%	3,717
ESCAMBIA	1,016	447	30.55%	1,463
FLAGLER	91	8	8.08%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	650	303	31.79%	953
GULF	9	14	60.87%	23
HARDEE	25	0	0.00%	25
HENDRY	12	17	58.62%	29
HERNANDO	564	175	23.68%	739
HIGHLANDS	221	38	14.67%	259
HILLSBOROUGH	3,367	807	19.33%	4,174
HOLMES	10	10	50.00%	20
INDIAN RIVER	335	118	26.05%	453
JACKSON	46	46	50.00%	92
LAKE	714	209	22.64%	923
LEE	1,493	354	19.17%	1,847
LEON	746	117	13.56%	863
MADISON	7	8	53.33%	15
MANATEE	642	134	17.27%	776
MARION	856	117	12.02%	973
MARTIN	286	159	35.73%	445
MIAMI-DADE	6,539	2,194	25.12%	8,733
MONROE	75	94	55.62%	169
NASSAU	38	36	48.65%	74
OKALOOSA	362	103	22.15%	465
OKEECHOBEE	50	50	50.00%	100
ORANGE	3,429	1,093	24.17%	4,522
OSCEOLA	912	242	20.97%	1,154
PALM BEACH	2,914	1,129	27.92%	4,043
PASCO	1,123	267	19.21%	1,390
PINELLAS	2,393	901	27.35%	3,294
POLK	1,395	329	19.08%	1,724
PUTNAM	62	22	26.19%	84
SANTA ROSA	115	143	55.43%	258
SARASOTA	1,072	123	10.29%	1,195
SEMINOLE	722	236	24.63%	958
ST. JOHNS	194	138	41.57%	332
ST. LUCIE	723	154	17.56%	877
SUMTER	270	77	22.19%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	47	28	37.33%	75
VOLUSIA	1,086	451	29.34%	1,537
WALTON	71	43	37.72%	114
WASHINGTON	43	16	27.12%	59
