County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,813	15,100	24.79%	60,913
ALACHUA	1,489	224	13.08%	1,713
BAKER	451	174	27.84%	625
BAY	446	79	15.05%	525
BRADFORD	5	5	50.00%	10
BREVARD	1,194	433	26.61%	1,627
BROWARD	4,151	1,106	21.04%	5,257
CALHOUN	7	3	30.00%	10
CHARLOTTE	441	185	29.55%	626
CITRUS	231	74	24.26%	305
CLAY	475	81	14.57%	556
COLLIER	625	211	25.24%	836
COLUMBIA	97	0	0.00%	97
DESOTO	12	43	78.18%	55
DUVAL	2,742	899	24.69%	3,641
ESCAMBIA	1,068	427	28.56%	1,495
FLAGLER	82	17	17.17%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	709	244	25.60%	953
GULF	4	17	80.95%	21
HARDEE	23	2	8.00%	25
HENDRY	9	20	68.97%	29
HERNANDO	534	204	27.64%	738
HIGHLANDS	217	33	13.20%	250
HILLSBOROUGH	3,296	501	13.19%	3,797
HOLMES	18	2	10.00%	20
INDIAN RIVER	290	159	35.41%	449
JACKSON	29	68	70.10%	97
LAKE	668	240	26.43%	908
LEE	1,418	395	21.79%	1,813
LEON	748	123	14.12%	871
MADISON	8	7	46.67%	15
MANATEE	626	102	14.01%	728
MARION	817	116	12.43%	933
MARTIN	235	270	53.47%	505
MIAMI-DADE	6,158	2,450	28.46%	8,608
MONROE	81	84	50.91%	165
NASSAU	33	35	51.47%	68
OKALOOSA	379	80	17.43%	459
OKEECHOBEE	64	36	36.00%	100
ORANGE	3,304	1,126	25.42%	4,430
OSCEOLA	892	274	23.50%	1,166
PALM BEACH	2,665	1,380	34.12%	4,045
PASCO	1,171	178	13.19%	1,349
PINELLAS	2,253	972	30.14%	3,225
POLK	1,267	367	22.46%	1,634
PUTNAM	68	16	19.05%	84
SANTA ROSA	112	225	66.77%	337
SARASOTA	1,011	216	17.60%	1,227
SEMINOLE	726	199	21.51%	925
ST. JOHNS	199	127	38.96%	326
ST. LUCIE	724	146	16.78%	870
SUMTER	249	98	28.24%	347
SUWANNEE	0	0		0
TAYLOR	6	6	50.00%	12
UNION	64	26	28.89%	90
VOLUSIA	1,136	490	30.14%	1,626
WALTON	46	71	60.68%	117
WASHINGTON	38	21	35.59%	59
