County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,657	1,433	23.53%	6,090	407	189	31.71%	596
ALACHUA	277	31	10.06%	308	37	10	21.28%	47
BAKER	0	0		0	0	0		0
BAY	49	31	38.75%	80	1	3	75.00%	4
BREVARD	123	43	25.90%	166	0	0		0
BROWARD	360	118	24.69%	478	37	35	48.61%	72
CALHOUN	0	0		0	0	0		0
CHARLOTTE	44	11	20.00%	55	0	0		0
CITRUS	36	6	14.29%	42	0	0		0
CLAY	38	4	9.52%	42	3	3	50.00%	6
COLLIER	52	27	34.18%	79	0	0		0
COLUMBIA	18	2	10.00%	20	0	0		0
DESOTO	3	5	62.50%	8	0	0		0
DUVAL	303	137	31.14%	440	29	11	27.50%	40
ESCAMBIA	93	19	16.96%	112	6	10	62.50%	16
FLAGLER	13	5	27.78%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	53	18	25.35%	71	0	0		0
HIGHLANDS	16	16	50.00%	32	0	0		0
HILLSBOROUGH	354	52	12.81%	406	20	17	45.95%	37
HOLMES	0	0		0	0	0		0
INDIAN RIVER	21	13	38.24%	34	0	0		0
JACKSON	4	2	33.33%	6	0	0		0
LAKE	70	12	14.63%	82	0	0		0
LEE	120	25	17.24%	145	65	21	24.42%	86
LEON	58	14	19.44%	72	0	9	100.00%	9
MADISON	0	0		0	0	0		0
MANATEE	56	34	37.78%	90	0	0		0
MARION	83	25	23.15%	108	0	0		0
MARTIN	13	22	62.86%	35	0	0		0
MIAMI-DADE	744	235	24.00%	979	71	11	13.41%	82
MONROE	9	5	35.71%	14	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	53	4	7.02%	57	0	0		0
OKEECHOBEE	9	0	0.00%	9	0	0		0
ORANGE	234	74	24.03%	308	78	28	26.42%	106
OSCEOLA	71	33	31.73%	104	0	6	100.00%	6
PALM BEACH	343	66	16.14%	409	20	12	37.50%	32
PASCO	111	28	20.14%	139	0	0		0
PINELLAS	268	79	22.77%	347	35	7	16.67%	42
POLK	123	64	34.22%	187	0	0		0
PUTNAM	7	3	30.00%	10	0	0		0
SANTA ROSA	13	9	40.91%	22	0	0		0
SARASOTA	59	43	42.16%	102	0	0		0
SEMINOLE	58	14	19.44%	72	0	0		0
ST. JOHNS	24	20	45.45%	44	0	0		0
ST. LUCIE	78	12	13.33%	90	4	2	33.33%	6
SUMTER	30	10	25.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	147	50	25.38%	197	1	4	80.00%	5
WALTON	13	10	43.48%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
