County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,557	1,567	25.59%	6,124	728	297	28.98%	1,025
ALACHUA	251	57	18.51%	308	35	12	25.53%	47
BAKER	0	0		0	0	0		0
BAY	50	14	21.88%	64	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	118	49	29.34%	167	0	0		0
BROWARD	384	85	18.12%	469	52	23	30.67%	75
CALHOUN	0	0		0	0	0		0
CHARLOTTE	43	9	17.31%	52	0	0		0
CITRUS	32	8	20.00%	40	0	0		0
CLAY	36	15	29.41%	51	1	3	75.00%	4
COLLIER	60	25	29.41%	85	0	0		0
COLUMBIA	12	0	0.00%	12	0	0		0
DESOTO	4	4	50.00%	8	0	0		0
DUVAL	283	144	33.72%	427	19	9	32.14%	28
ESCAMBIA	84	67	44.37%	151	9	7	43.75%	16
FLAGLER	13	5	27.78%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	3	100.00%	3	0	0		0
HERNANDO	44	21	32.31%	65	0	0		0
HIGHLANDS	20	7	25.93%	27	0	0		0
HILLSBOROUGH	295	109	26.98%	404	336	84	20.00%	420
HOLMES	0	0		0	0	0		0
INDIAN RIVER	26	6	18.75%	32	0	0		0
JACKSON	5	2	28.57%	7	0	0		0
LAKE	65	39	37.50%	104	0	0		0
LEE	125	24	16.11%	149	66	7	9.59%	73
LEON	63	9	12.50%	72	8	1	11.11%	9
MADISON	0	0		0	0	0		0
MANATEE	49	19	27.94%	68	0	0		0
MARION	74	19	20.43%	93	0	0		0
MARTIN	11	11	50.00%	22	0	0		0
MIAMI-DADE	721	207	22.31%	928	66	55	45.45%	121
MONROE	9	4	30.77%	13	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	54	3	5.26%	57	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	283	113	28.54%	396	79	47	37.30%	126
OSCEOLA	87	37	29.84%	124	0	0		0
PALM BEACH	275	127	31.59%	402	15	23	60.53%	38
PASCO	126	15	10.64%	141	0	0		0
PINELLAS	228	111	32.74%	339	31	8	20.51%	39
POLK	146	38	20.65%	184	6	8	57.14%	14
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	11	5	31.25%	16	0	0		0
SARASOTA	72	30	29.41%	102	0	0		0
SEMINOLE	59	14	19.18%	73	0	0		0
ST. JOHNS	23	21	47.73%	44	0	0		0
ST. LUCIE	84	16	16.00%	100	2	4	66.67%	6
SUMTER	29	11	27.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	5	100.00%	5	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	170	44	20.56%	214	2	3	60.00%	5
WALTON	9	13	59.09%	22	0	0		0
WASHINGTON	0	0		0	0	0		0
