County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	43,923	16,799	27.67%	60,722
ALACHUA	1,381	317	18.67%	1,698
BAKER	478	147	23.52%	625
BAY	397	147	27.02%	544
BRADFORD	5	5	50.00%	10
BREVARD	1,177	457	27.97%	1,634
BROWARD	4,055	1,082	21.06%	5,137
CALHOUN	7	3	30.00%	10
CHARLOTTE	436	166	27.57%	602
CITRUS	213	83	28.04%	296
CLAY	444	120	21.28%	564
COLLIER	674	165	19.67%	839
COLUMBIA	94	0	0.00%	94
DESOTO	12	43	78.18%	55
DUVAL	2,657	1,088	29.05%	3,745
ESCAMBIA	982	471	32.42%	1,453
FLAGLER	86	13	13.13%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	603	350	36.73%	953
GULF	6	15	71.43%	21
HARDEE	22	3	12.00%	25
HENDRY	10	23	69.70%	33
HERNANDO	487	237	32.73%	724
HIGHLANDS	179	77	30.08%	256
HILLSBOROUGH	3,089	862	21.82%	3,951
HOLMES	18	2	10.00%	20
INDIAN RIVER	314	138	30.53%	452
JACKSON	40	56	58.33%	96
LAKE	643	263	29.03%	906
LEE	1,382	437	24.02%	1,819
LEON	702	149	17.51%	851
MADISON	7	8	53.33%	15
MANATEE	653	102	13.51%	755
MARION	713	159	18.23%	872
MARTIN	236	194	45.12%	430
MIAMI-DADE	5,934	2,648	30.86%	8,582
MONROE	68	114	62.64%	182
NASSAU	34	34	50.00%	68
OKALOOSA	352	106	23.14%	458
OKEECHOBEE	59	41	41.00%	100
ORANGE	3,229	1,235	27.67%	4,464
OSCEOLA	836	313	27.24%	1,149
PALM BEACH	2,625	1,382	34.49%	4,007
PASCO	1,076	260	19.46%	1,336
PINELLAS	2,144	999	31.78%	3,143
POLK	1,225	460	27.30%	1,685
PUTNAM	57	27	32.14%	84
SANTA ROSA	115	219	65.57%	334
SARASOTA	962	219	18.54%	1,181
SEMINOLE	655	285	30.32%	940
ST. JOHNS	153	178	53.78%	331
ST. LUCIE	705	170	19.43%	875
SUMTER	254	93	26.80%	347
SUWANNEE	0	0		0
TAYLOR	2	10	83.33%	12
UNION	56	29	34.12%	85
VOLUSIA	1,088	496	31.31%	1,584
WALTON	52	65	55.56%	117
WASHINGTON	40	19	32.20%	59
