County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,628	1,514	24.65%	6,142	426	246	36.61%	672
ALACHUA	266	42	13.64%	308	39	8	17.02%	47
BAKER	0	0		0	0	0		0
BAY	55	9	14.06%	64	2	2	50.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	112	47	29.56%	159	0	0		0
BROWARD	370	108	22.59%	478	58	23	28.40%	81
CALHOUN	0	0		0	0	0		0
CHARLOTTE	43	8	15.69%	51	0	0		0
CITRUS	35	5	12.50%	40	0	0		0
CLAY	40	11	21.57%	51	1	3	75.00%	4
COLLIER	49	36	42.35%	85	0	0		0
COLUMBIA	9	4	30.77%	13	0	0		0
DESOTO	0	8	100.00%	8	0	0		0
DUVAL	343	84	19.67%	427	23	17	42.50%	40
ESCAMBIA	115	26	18.44%	141	6	10	62.50%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	39	23	37.10%	62	0	0		0
HIGHLANDS	20	8	28.57%	28	0	0		0
HILLSBOROUGH	335	73	17.89%	408	27	13	32.50%	40
HOLMES	0	0		0	0	0		0
INDIAN RIVER	15	15	50.00%	30	0	0		0
JACKSON	3	5	62.50%	8	0	0		0
LAKE	71	33	31.73%	104	0	0		0
LEE	105	35	25.00%	140	62	24	27.91%	86
LEON	65	7	9.72%	72	3	6	66.67%	9
MADISON	0	0		0	0	0		0
MANATEE	55	19	25.68%	74	0	0		0
MARION	80	14	14.89%	94	0	0		0
MARTIN	15	10	40.00%	25	0	0		0
MIAMI-DADE	766	232	23.25%	998	69	46	40.00%	115
MONROE	7	6	46.15%	13	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	50	4	7.41%	54	0	0		0
OKEECHOBEE	3	5	62.50%	8	0	0		0
ORANGE	265	137	34.08%	402	81	49	37.69%	130
OSCEOLA	82	41	33.33%	123	0	0		0
PALM BEACH	246	152	38.19%	398	16	18	52.94%	34
PASCO	111	20	15.27%	131	0	0		0
PINELLAS	242	57	19.06%	299	32	9	21.95%	41
POLK	143	38	20.99%	181	4	10	71.43%	14
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	6	16	72.73%	22	0	0		0
SARASOTA	74	34	31.48%	108	0	0		0
SEMINOLE	62	11	15.07%	73	0	0		0
ST. JOHNS	26	18	40.91%	44	0	0		0
ST. LUCIE	72	18	20.00%	90	3	3	50.00%	6
SUMTER	33	7	17.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	151	71	31.98%	222	0	5	100.00%	5
WALTON	15	11	42.31%	26	0	0		0
WASHINGTON	0	0		0	0	0		0
