County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,222	15,353	25.77%	59,575
ALACHUA	1,415	299	17.44%	1,714
BAKER	132	492	78.85%	624
BAY	451	115	20.32%	566
BRADFORD	5	5	50.00%	10
BREVARD	1,143	484	29.75%	1,627
BROWARD	4,163	1,091	20.77%	5,254
CALHOUN	5	5	50.00%	10
CHARLOTTE	441	256	36.73%	697
CITRUS	215	81	27.36%	296
CLAY	476	86	15.30%	562
COLLIER	707	177	20.02%	884
COLUMBIA	106	0	0.00%	106
DESOTO	29	26	47.27%	55
DUVAL	2,693	1,053	28.11%	3,746
ESCAMBIA	1,027	468	31.30%	1,495
FLAGLER	81	18	18.18%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	5	16	76.19%	21
HARDEE	23	2	8.00%	25
HENDRY	13	16	55.17%	29
HERNANDO	496	232	31.87%	728
HIGHLANDS	208	51	19.69%	259
HILLSBOROUGH	3,048	743	19.60%	3,791
HOLMES	3	17	85.00%	20
INDIAN RIVER	314	159	33.62%	473
JACKSON	36	53	59.55%	89
LAKE	659	245	27.10%	904
LEE	1,416	376	20.98%	1,792
LEON	719	138	16.10%	857
MADISON	6	9	60.00%	15
MANATEE	599	148	19.81%	747
MARION	761	131	14.69%	892
MARTIN	209	286	57.78%	495
MIAMI-DADE	6,575	1,896	22.38%	8,471
MONROE	94	15	13.76%	109
NASSAU	34	34	50.00%	68
OKALOOSA	369	82	18.18%	451
OKEECHOBEE	52	48	48.00%	100
ORANGE	3,280	1,061	24.44%	4,341
OSCEOLA	842	315	27.23%	1,157
PALM BEACH	2,744	1,406	33.88%	4,150
PASCO	1,057	309	22.62%	1,366
PINELLAS	2,188	713	24.58%	2,901
POLK	1,262	358	22.10%	1,620
PUTNAM	54	30	35.71%	84
SANTA ROSA	123	221	64.24%	344
SARASOTA	922	230	19.97%	1,152
SEMINOLE	708	220	23.71%	928
ST. JOHNS	183	147	44.55%	330
ST. LUCIE	650	224	25.63%	874
SUMTER	223	124	35.73%	347
SUWANNEE	0	0		0
TAYLOR	2	10	83.33%	12
UNION	59	56	48.70%	115
VOLUSIA	1,086	496	31.35%	1,582
WALTON	61	56	47.86%	117
WASHINGTON	49	10	16.95%	59
