County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,000	14,250	23.27%	61,250
ALACHUA	1,493	275	15.55%	1,768
BAKER	515	110	17.60%	625
BAY	438	124	22.06%	562
BRADFORD	5	5	50.00%	10
BREVARD	1,178	443	27.33%	1,621
BROWARD	4,181	1,053	20.12%	5,234
CALHOUN	8	2	20.00%	10
CHARLOTTE	472	129	21.46%	601
CITRUS	222	77	25.75%	299
CLAY	497	74	12.96%	571
COLLIER	749	117	13.51%	866
COLUMBIA	108	0	0.00%	108
DESOTO	32	26	44.83%	58
DUVAL	2,809	924	24.75%	3,733
ESCAMBIA	1,090	366	25.14%	1,456
FLAGLER	78	21	21.21%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	570	383	40.19%	953
GULF	7	14	66.67%	21
HARDEE	23	1	4.17%	24
HENDRY	8	21	72.41%	29
HERNANDO	522	206	28.30%	728
HIGHLANDS	224	35	13.51%	259
HILLSBOROUGH	3,314	790	19.25%	4,104
HOLMES	13	7	35.00%	20
INDIAN RIVER	347	118	25.38%	465
JACKSON	46	50	52.08%	96
LAKE	731	187	20.37%	918
LEE	1,566	251	13.81%	1,817
LEON	736	107	12.69%	843
MADISON	15	1	6.25%	16
MANATEE	659	103	13.52%	762
MARION	793	113	12.47%	906
MARTIN	284	129	31.23%	413
MIAMI-DADE	6,451	2,192	25.36%	8,643
MONROE	74	95	56.21%	169
NASSAU	42	26	38.24%	68
OKALOOSA	360	93	20.53%	453
OKEECHOBEE	32	68	68.00%	100
ORANGE	3,357	1,058	23.96%	4,415
OSCEOLA	892	269	23.17%	1,161
PALM BEACH	2,908	1,035	26.25%	3,943
PASCO	1,109	331	22.99%	1,440
PINELLAS	2,251	1,013	31.04%	3,264
POLK	1,368	319	18.91%	1,687
PUTNAM	68	16	19.05%	84
SANTA ROSA	97	144	59.75%	241
SARASOTA	1,133	166	12.78%	1,299
SEMINOLE	716	231	24.39%	947
ST. JOHNS	191	140	42.30%	331
ST. LUCIE	751	106	12.37%	857
SUMTER	237	110	31.70%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	53	22	29.33%	75
VOLUSIA	1,086	444	29.02%	1,530
WALTON	53	62	53.91%	115
WASHINGTON	33	26	44.07%	59
