County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,984	13,292	21.34%	62,276
ALACHUA	1,574	207	11.62%	1,781
BAKER	489	136	21.76%	625
BAY	470	90	16.07%	560
BRADFORD	5	5	50.00%	10
BREVARD	1,241	413	24.97%	1,654
BROWARD	4,385	995	18.49%	5,380
CALHOUN	9	1	10.00%	10
CHARLOTTE	409	182	30.80%	591
CITRUS	221	76	25.59%	297
CLAY	512	72	12.33%	584
COLLIER	794	109	12.07%	903
COLUMBIA	108	0	0.00%	108
DESOTO	35	23	39.66%	58
DUVAL	2,843	981	25.65%	3,824
ESCAMBIA	1,056	427	28.79%	1,483
FLAGLER	90	11	10.89%	101
FRANKLIN	1	14	93.33%	15
GADSDEN	640	313	32.84%	953
GULF	11	10	47.62%	21
HARDEE	25	0	0.00%	25
HENDRY	7	22	75.86%	29
HERNANDO	558	180	24.39%	738
HIGHLANDS	249	35	12.32%	284
HILLSBOROUGH	3,442	761	18.11%	4,203
HOLMES	16	4	20.00%	20
INDIAN RIVER	351	123	25.95%	474
JACKSON	44	48	52.17%	92
LAKE	740	185	20.00%	925
LEE	1,595	238	12.98%	1,833
LEON	776	97	11.11%	873
MADISON	9	6	40.00%	15
MANATEE	653	135	17.13%	788
MARION	899	81	8.27%	980
MARTIN	312	136	30.36%	448
MIAMI-DADE	6,691	2,008	23.08%	8,699
MONROE	79	90	53.25%	169
NASSAU	46	22	32.35%	68
OKALOOSA	377	80	17.51%	457
OKEECHOBEE	65	35	35.00%	100
ORANGE	3,510	1,124	24.26%	4,634
OSCEOLA	941	220	18.95%	1,161
PALM BEACH	3,003	1,005	25.07%	4,008
PASCO	1,161	230	16.53%	1,391
PINELLAS	2,420	739	23.39%	3,159
POLK	1,392	316	18.50%	1,708
PUTNAM	71	13	15.48%	84
SANTA ROSA	130	122	48.41%	252
SARASOTA	1,241	155	11.10%	1,396
SEMINOLE	742	213	22.30%	955
ST. JOHNS	198	133	40.18%	331
ST. LUCIE	775	113	12.73%	888
SUMTER	267	80	23.05%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	48	27	36.00%	75
VOLUSIA	1,148	376	24.67%	1,524
WALTON	64	50	43.86%	114
WASHINGTON	41	18	30.51%	59
