County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,762	1,289	21.30%	6,051	412	208	33.55%	620
ALACHUA	278	30	9.74%	308	32	15	31.91%	47
BAKER	0	0		0	0	0		0
BAY	46	29	38.67%	75	0	4	100.00%	4
BREVARD	117	47	28.66%	164	0	0		0
BROWARD	391	79	16.81%	470	32	29	47.54%	61
CALHOUN	0	0		0	0	0		0
CHARLOTTE	40	15	27.27%	55	0	0		0
CITRUS	32	8	20.00%	40	0	0		0
CLAY	36	5	12.20%	41	3	3	50.00%	6
COLLIER	54	24	30.77%	78	0	0		0
COLUMBIA	11	2	15.38%	13	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	339	101	22.95%	440	28	12	30.00%	40
ESCAMBIA	106	12	10.17%	118	8	8	50.00%	16
FLAGLER	12	6	33.33%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	50	17	25.37%	67	0	0		0
HIGHLANDS	22	14	38.89%	36	0	0		0
HILLSBOROUGH	357	66	15.60%	423	24	19	44.19%	43
HOLMES	0	0		0	0	0		0
INDIAN RIVER	21	9	30.00%	30	0	0		0
JACKSON	4	2	33.33%	6	0	0		0
LAKE	69	23	25.00%	92	0	0		0
LEE	103	28	21.37%	131	61	31	33.70%	92
LEON	57	15	20.83%	72	4	5	55.56%	9
MADISON	0	0		0	0	0		0
MANATEE	64	30	31.91%	94	0	0		0
MARION	77	30	28.04%	107	0	0		0
MARTIN	13	22	62.86%	35	0	0		0
MIAMI-DADE	717	253	26.08%	970	70	9	11.39%	79
MONROE	8	6	42.86%	14	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	48	6	11.11%	54	0	0		0
OKEECHOBEE	7	1	12.50%	8	0	0		0
ORANGE	260	56	17.72%	316	86	40	31.75%	126
OSCEOLA	81	15	15.63%	96	0	6	100.00%	6
PALM BEACH	312	97	23.72%	409	15	17	53.13%	32
PASCO	131	9	6.43%	140	0	0		0
PINELLAS	275	51	15.64%	326	46	2	4.17%	48
POLK	138	29	17.37%	167	0	0		0
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	9	11	55.00%	20	0	0		0
SARASOTA	71	45	38.79%	116	0	0		0
SEMINOLE	55	14	20.29%	69	0	0		0
ST. JOHNS	24	20	45.45%	44	0	0		0
ST. LUCIE	82	8	8.89%	90	3	3	50.00%	6
SUMTER	29	11	27.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	177	33	15.71%	210	0	5	100.00%	5
WALTON	15	8	34.78%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
