County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,902	1,249	20.31%	6,151	420	264	38.60%	684
ALACHUA	276	32	10.39%	308	36	11	23.40%	47
BAKER	0	0		0	0	0		0
BAY	53	13	19.70%	66	0	4	100.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	133	37	21.76%	170	0	0		0
BROWARD	355	108	23.33%	463	45	40	47.06%	85
CALHOUN	0	0		0	0	0		0
CHARLOTTE	46	5	9.80%	51	0	0		0
CITRUS	37	3	7.50%	40	0	0		0
CLAY	44	7	13.73%	51	2	2	50.00%	4
COLLIER	65	20	23.53%	85	0	0		0
COLUMBIA	17	0	0.00%	17	0	0		0
DESOTO	2	4	66.67%	6	0	0		0
DUVAL	360	82	18.55%	442	20	19	48.72%	39
ESCAMBIA	128	13	9.22%	141	6	10	62.50%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	50	12	19.35%	62	0	0		0
HIGHLANDS	24	5	17.24%	29	0	0		0
HILLSBOROUGH	336	51	13.18%	387	26	16	38.10%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	23	7	23.33%	30	0	0		0
JACKSON	8	3	27.27%	11	0	0		0
LAKE	72	32	30.77%	104	0	0		0
LEE	108	31	22.30%	139	59	27	31.40%	86
LEON	61	11	15.28%	72	4	5	55.56%	9
MADISON	0	0		0	0	0		0
MANATEE	52	16	23.53%	68	0	0		0
MARION	88	3	3.30%	91	0	0		0
MARTIN	16	5	23.81%	21	0	0		0
MIAMI-DADE	773	185	19.31%	958	75	48	39.02%	123
MONROE	8	5	38.46%	13	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	52	3	5.45%	55	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	264	136	34.00%	400	73	53	42.06%	126
OSCEOLA	88	35	28.46%	123	0	0		0
PALM BEACH	301	97	24.37%	398	16	16	50.00%	32
PASCO	149	13	8.02%	162	0	0		0
PINELLAS	275	59	17.66%	334	41	5	10.87%	46
POLK	140	40	22.22%	180	12	2	14.29%	14
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	12	10	45.45%	22	0	0		0
SARASOTA	83	25	23.15%	108	0	0		0
SEMINOLE	67	6	8.22%	73	0	0		0
ST. JOHNS	24	20	45.45%	44	0	0		0
ST. LUCIE	78	12	13.33%	90	5	1	16.67%	6
SUMTER	35	5	12.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	155	71	31.42%	226	0	5	100.00%	5
WALTON	7	16	69.57%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
