County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,332	1,672	27.85%	6,004	415	229	35.56%	644
ALACHUA	253	55	17.86%	308	37	10	21.28%	47
BAKER	0	0		0	0	0		0
BAY	53	9	14.52%	62	4	0	0.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	128	38	22.89%	166	0	0		0
BROWARD	314	107	25.42%	421	34	35	50.72%	69
CALHOUN	0	0		0	0	0		0
CHARLOTTE	44	5	10.20%	49	0	0		0
CITRUS	27	13	32.50%	40	0	0		0
CLAY	50	12	19.35%	62	4	0	0.00%	4
COLLIER	51	34	40.00%	85	0	0		0
COLUMBIA	12	1	7.69%	13	0	0		0
DESOTO	1	7	87.50%	8	0	0		0
DUVAL	308	127	29.20%	435	23	17	42.50%	40
ESCAMBIA	126	15	10.64%	141	10	6	37.50%	16
FLAGLER	13	5	27.78%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	47	15	24.19%	62	0	0		0
HIGHLANDS	14	14	50.00%	28	0	0		0
HILLSBOROUGH	305	60	16.44%	365	22	14	38.89%	36
HOLMES	0	0		0	0	0		0
INDIAN RIVER	20	12	37.50%	32	0	0		0
JACKSON	8	1	11.11%	9	0	0		0
LAKE	67	37	35.58%	104	0	0		0
LEE	96	40	29.41%	136	67	19	22.09%	86
LEON	59	13	18.06%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	55	17	23.61%	72	0	0		0
MARION	78	6	7.14%	84	0	0		0
MARTIN	13	27	67.50%	40	0	0		0
MIAMI-DADE	726	224	23.58%	950	74	42	36.21%	116
MONROE	7	6	46.15%	13	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	49	5	9.26%	54	0	0		0
OKEECHOBEE	5	3	37.50%	8	0	0		0
ORANGE	240	164	40.59%	404	81	45	35.71%	126
OSCEOLA	80	47	37.01%	127	0	0		0
PALM BEACH	230	164	41.62%	394	15	18	54.55%	33
PASCO	92	33	26.40%	125	0	0		0
PINELLAS	224	67	23.02%	291	28	5	15.15%	33
POLK	122	43	26.06%	165	12	2	14.29%	14
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	11	9	45.00%	20	0	0		0
SARASOTA	56	54	49.09%	110	0	0		0
SEMINOLE	55	18	24.66%	73	0	0		0
ST. JOHNS	21	23	52.27%	44	0	0		0
ST. LUCIE	68	21	23.60%	89	2	4	66.67%	6
SUMTER	30	10	25.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	147	93	38.75%	240	0	5	100.00%	5
WALTON	12	11	47.83%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
