County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,028	1,138	18.46%	6,166	355	259	42.18%	614
ALACHUA	267	41	13.31%	308	28	19	40.43%	47
BAKER	0	0		0	0	0		0
BAY	61	1	1.61%	62	2	2	50.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	114	60	34.48%	174	0	0		0
BROWARD	478	44	8.43%	522	34	18	34.62%	52
CALHOUN	0	0		0	0	0		0
CHARLOTTE	49	11	18.33%	60	0	0		0
CITRUS	34	5	12.82%	39	0	0		0
CLAY	37	5	11.90%	42	3	11	78.57%	14
COLLIER	55	24	30.38%	79	0	0		0
COLUMBIA	13	0	0.00%	13	0	0		0
DESOTO	5	3	37.50%	8	0	0		0
DUVAL	333	108	24.49%	441	21	19	47.50%	40
ESCAMBIA	134	7	4.96%	141	9	7	43.75%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	49	13	20.97%	62	0	0		0
HIGHLANDS	26	4	13.33%	30	0	0		0
HILLSBOROUGH	331	44	11.73%	375	24	13	35.14%	37
HOLMES	0	0		0	0	0		0
INDIAN RIVER	19	11	36.67%	30	0	0		0
JACKSON	9	6	40.00%	15	0	0		0
LAKE	62	42	40.38%	104	0	0		0
LEE	123	18	12.77%	141	55	31	36.05%	86
LEON	68	4	5.56%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	55	13	19.12%	68	0	0		0
MARION	71	7	8.97%	78	0	0		0
MARTIN	12	27	69.23%	39	0	0		0
MIAMI-DADE	895	106	10.59%	1,001	59	43	42.16%	102
MONROE	9	1	10.00%	10	0	0		0
NASSAU	4	4	50.00%	8	0	0		0
OKALOOSA	49	5	9.26%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	269	103	27.69%	372	67	45	40.18%	112
OSCEOLA	95	34	26.36%	129	1	5	83.33%	6
PALM BEACH	293	133	31.22%	426	6	26	81.25%	32
PASCO	117	19	13.97%	136	0	0		0
PINELLAS	245	49	16.67%	294	38	8	17.39%	46
POLK	144	27	15.79%	171	0	0		0
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	14	8	36.36%	22	0	0		0
SARASOTA	78	30	27.78%	108	0	0		0
SEMINOLE	66	7	9.59%	73	0	0		0
ST. JOHNS	21	23	52.27%	44	0	0		0
ST. LUCIE	77	13	14.44%	90	6	0	0.00%	6
SUMTER	33	7	17.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	167	59	26.11%	226	0	5	100.00%	5
WALTON	15	8	34.78%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
