County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,648	15,200	25.40%	59,848
ALACHUA	1,429	297	17.21%	1,726
BAKER	131	494	79.04%	625
BAY	419	152	26.62%	571
BRADFORD	5	5	50.00%	10
BREVARD	1,055	555	34.47%	1,610
BROWARD	4,344	992	18.59%	5,336
CALHOUN	4	6	60.00%	10
CHARLOTTE	443	253	36.35%	696
CITRUS	211	81	27.74%	292
CLAY	475	79	14.26%	554
COLLIER	666	200	23.09%	866
COLUMBIA	95	28	22.76%	123
DESOTO	30	25	45.45%	55
DUVAL	2,664	1,096	29.15%	3,760
ESCAMBIA	985	471	32.35%	1,456
FLAGLER	87	12	12.12%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	10	11	52.38%	21
HARDEE	22	3	12.00%	25
HENDRY	15	14	48.28%	29
HERNANDO	500	229	31.41%	729
HIGHLANDS	211	52	19.77%	263
HILLSBOROUGH	3,192	679	17.54%	3,871
HOLMES	7	13	65.00%	20
INDIAN RIVER	301	170	36.09%	471
JACKSON	48	57	54.29%	105
LAKE	632	269	29.86%	901
LEE	1,410	365	20.56%	1,775
LEON	692	170	19.72%	862
MADISON	5	10	66.67%	15
MANATEE	678	92	11.95%	770
MARION	732	156	17.57%	888
MARTIN	242	248	50.61%	490
MIAMI-DADE	6,674	1,809	21.33%	8,483
MONROE	75	23	23.47%	98
NASSAU	29	39	57.35%	68
OKALOOSA	363	88	19.51%	451
OKEECHOBEE	48	52	52.00%	100
ORANGE	3,307	1,070	24.45%	4,377
OSCEOLA	839	313	27.17%	1,152
PALM BEACH	2,825	1,380	32.82%	4,205
PASCO	1,069	319	22.98%	1,388
PINELLAS	2,290	597	20.68%	2,887
POLK	1,243	410	24.80%	1,653
PUTNAM	54	30	35.71%	84
SANTA ROSA	135	222	62.18%	357
SARASOTA	946	180	15.99%	1,126
SEMINOLE	694	249	26.41%	943
ST. JOHNS	173	157	47.58%	330
ST. LUCIE	714	145	16.88%	859
SUMTER	217	130	37.46%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	53	75	58.59%	128
VOLUSIA	1,059	526	33.19%	1,585
WALTON	49	68	58.12%	117
WASHINGTON	47	12	20.34%	59
