County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,855	14,322	24.20%	59,177
ALACHUA	1,288	361	21.89%	1,649
BAKER	525	102	16.27%	627
BAY	387	158	28.99%	545
BREVARD	1,068	495	31.67%	1,563
BROWARD	4,216	1,173	21.77%	5,389
CALHOUN	5	5	50.00%	10
CHARLOTTE	433	272	38.58%	705
CITRUS	178	120	40.27%	298
CLAY	441	88	16.64%	529
COLLIER	683	161	19.08%	844
COLUMBIA	97	25	20.49%	122
DESOTO	28	27	49.09%	55
DUVAL	2,702	1,168	30.18%	3,870
ESCAMBIA	900	444	33.04%	1,344
FLAGLER	87	22	20.18%	109
FRANKLIN	3	12	80.00%	15
GADSDEN	0	0		0
GULF	8	34	80.95%	42
HARDEE	24	1	4.00%	25
HENDRY	9	20	68.97%	29
HERNANDO	560	193	25.63%	753
HIGHLANDS	182	113	38.31%	295
HILLSBOROUGH	3,168	730	18.73%	3,898
HOLMES	8	12	60.00%	20
INDIAN RIVER	273	207	43.13%	480
JACKSON	32	49	60.49%	81
LAKE	684	156	18.57%	840
LEE	1,481	263	15.08%	1,744
LEON	674	223	24.86%	897
MADISON	12	3	20.00%	15
MANATEE	781	181	18.81%	962
MARION	762	253	24.93%	1,015
MARTIN	237	254	51.73%	491
MIAMI-DADE	6,676	1,871	21.89%	8,547
MONROE	92	26	22.03%	118
NASSAU	34	52	60.47%	86
OKALOOSA	345	106	23.50%	451
OKEECHOBEE	53	47	47.00%	100
ORANGE	3,166	511	13.90%	3,677
OSCEOLA	830	191	18.71%	1,021
PALM BEACH	2,858	1,308	31.40%	4,166
PASCO	1,050	390	27.08%	1,440
PINELLAS	2,391	533	18.23%	2,924
POLK	1,291	249	16.17%	1,540
PUTNAM	53	26	32.91%	79
SANTA ROSA	128	211	62.24%	339
SARASOTA	936	262	21.87%	1,198
SEMINOLE	684	197	22.36%	881
ST. JOHNS	158	169	51.68%	327
ST. LUCIE	757	145	16.08%	902
SUMTER	217	130	37.46%	347
SUWANNEE	0	0		0
TAYLOR	6	10	62.50%	16
UNION	60	63	51.22%	123
VOLUSIA	987	367	27.10%	1,354
WALTON	110	111	50.23%	221
WASHINGTON	37	22	37.29%	59
