County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,083	13,575	22.02%	61,658
ALACHUA	1,470	267	15.37%	1,737
BAKER	516	104	16.77%	620
BAY	469	100	17.57%	569
BRADFORD	5	5	50.00%	10
BREVARD	1,190	442	27.08%	1,632
BROWARD	4,451	1,016	18.58%	5,467
CALHOUN	8	2	20.00%	10
CHARLOTTE	484	148	23.42%	632
CITRUS	243	58	19.27%	301
CLAY	502	66	11.62%	568
COLLIER	756	118	13.50%	874
COLUMBIA	105	0	0.00%	105
DESOTO	22	36	62.07%	58
DUVAL	3,002	770	20.41%	3,772
ESCAMBIA	1,089	367	25.21%	1,456
FLAGLER	85	14	14.14%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	552	401	42.08%	953
GULF	7	14	66.67%	21
HARDEE	25	0	0.00%	25
HENDRY	13	16	55.17%	29
HERNANDO	538	197	26.80%	735
HIGHLANDS	228	29	11.28%	257
HILLSBOROUGH	3,300	758	18.68%	4,058
HOLMES	15	5	25.00%	20
INDIAN RIVER	352	108	23.48%	460
JACKSON	53	46	46.46%	99
LAKE	717	198	21.64%	915
LEE	1,559	256	14.10%	1,815
LEON	726	129	15.09%	855
MADISON	9	6	40.00%	15
MANATEE	695	77	9.97%	772
MARION	832	102	10.92%	934
MARTIN	276	152	35.51%	428
MIAMI-DADE	6,675	2,016	23.20%	8,691
MONROE	58	110	65.48%	168
NASSAU	37	31	45.59%	68
OKALOOSA	370	84	18.50%	454
OKEECHOBEE	56	44	44.00%	100
ORANGE	3,336	1,150	25.64%	4,486
OSCEOLA	892	273	23.43%	1,165
PALM BEACH	2,976	1,051	26.10%	4,027
PASCO	1,182	281	19.21%	1,463
PINELLAS	2,379	883	27.07%	3,262
POLK	1,389	304	17.96%	1,693
PUTNAM	65	19	22.62%	84
SANTA ROSA	124	131	51.37%	255
SARASOTA	1,041	33	3.07%	1,074
SEMINOLE	716	225	23.91%	941
ST. JOHNS	197	133	40.30%	330
ST. LUCIE	731	125	14.60%	856
SUMTER	285	62	17.87%	347
SUWANNEE	0	0		0
TAYLOR	1	11	91.67%	12
UNION	48	27	36.00%	75
VOLUSIA	1,127	490	30.30%	1,617
WALTON	63	52	45.22%	115
WASHINGTON	38	21	35.59%	59
