County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,173	16,133	26.75%	60,306
ALACHUA	1,398	306	17.96%	1,704
BAKER	129	496	79.36%	625
BAY	426	116	21.40%	542
BRADFORD	5	5	50.00%	10
BREVARD	1,142	489	29.98%	1,631
BROWARD	4,122	1,096	21.00%	5,218
CALHOUN	9	1	10.00%	10
CHARLOTTE	421	280	39.94%	701
CITRUS	209	73	25.89%	282
CLAY	467	90	16.16%	557
COLLIER	698	164	19.03%	862
COLUMBIA	111	3	2.63%	114
DESOTO	17	38	69.09%	55
DUVAL	2,644	972	26.88%	3,616
ESCAMBIA	1,053	444	29.66%	1,497
FLAGLER	72	26	26.53%	98
FRANKLIN	1	14	93.33%	15
GADSDEN	778	171	18.02%	949
GULF	8	13	61.90%	21
HARDEE	18	7	28.00%	25
HENDRY	11	18	62.07%	29
HERNANDO	483	246	33.74%	729
HIGHLANDS	215	42	16.34%	257
HILLSBOROUGH	2,964	776	20.75%	3,740
HOLMES	7	13	65.00%	20
INDIAN RIVER	281	180	39.05%	461
JACKSON	49	58	54.21%	107
LAKE	669	237	26.16%	906
LEE	1,355	428	24.00%	1,783
LEON	708	139	16.41%	847
MADISON	9	6	40.00%	15
MANATEE	588	134	18.56%	722
MARION	787	125	13.71%	912
MARTIN	219	271	55.31%	490
MIAMI-DADE	6,266	2,170	25.72%	8,436
MONROE	94	23	19.66%	117
NASSAU	29	39	57.35%	68
OKALOOSA	339	112	24.83%	451
OKEECHOBEE	46	54	54.00%	100
ORANGE	3,272	1,097	25.11%	4,369
OSCEOLA	820	321	28.13%	1,141
PALM BEACH	2,604	1,502	36.58%	4,106
PASCO	1,096	300	21.49%	1,396
PINELLAS	2,266	701	23.63%	2,967
POLK	1,220	417	25.47%	1,637
PUTNAM	49	35	41.67%	84
SANTA ROSA	150	201	57.26%	351
SARASOTA	918	237	20.52%	1,155
SEMINOLE	666	258	27.92%	924
ST. JOHNS	173	157	47.58%	330
ST. LUCIE	649	234	26.50%	883
SUMTER	211	136	39.19%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	60	59	49.58%	119
VOLUSIA	1,067	520	32.77%	1,587
WALTON	56	61	52.14%	117
WASHINGTON	45	14	23.73%	59
