County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,385	14,169	23.40%	60,554
ALACHUA	1,476	231	13.53%	1,707
BAKER	133	492	78.72%	625
BAY	430	124	22.38%	554
BRADFORD	5	5	50.00%	10
BREVARD	1,226	402	24.69%	1,628
BROWARD	4,230	938	18.15%	5,168
CALHOUN	3	7	70.00%	10
CHARLOTTE	438	278	38.83%	716
CITRUS	234	58	19.86%	292
CLAY	480	74	13.36%	554
COLLIER	748	156	17.26%	904
COLUMBIA	112	2	1.75%	114
DESOTO	28	27	49.09%	55
DUVAL	2,821	846	23.07%	3,667
ESCAMBIA	1,114	381	25.48%	1,495
FLAGLER	72	27	27.27%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	778	171	18.02%	949
GULF	10	11	52.38%	21
HARDEE	20	5	20.00%	25
HENDRY	12	17	58.62%	29
HERNANDO	495	226	31.35%	721
HIGHLANDS	216	42	16.28%	258
HILLSBOROUGH	3,174	600	15.90%	3,774
HOLMES	7	13	65.00%	20
INDIAN RIVER	296	170	36.48%	466
JACKSON	44	65	59.63%	109
LAKE	697	207	22.90%	904
LEE	1,439	349	19.52%	1,788
LEON	739	121	14.07%	860
MADISON	12	4	25.00%	16
MANATEE	612	143	18.94%	755
MARION	711	95	11.79%	806
MARTIN	235	255	52.04%	490
MIAMI-DADE	6,543	1,959	23.04%	8,502
MONROE	88	22	20.00%	110
NASSAU	45	23	33.82%	68
OKALOOSA	370	81	17.96%	451
OKEECHOBEE	43	57	57.00%	100
ORANGE	3,437	953	21.71%	4,390
OSCEOLA	861	283	24.74%	1,144
PALM BEACH	2,825	1,320	31.85%	4,145
PASCO	1,111	283	20.30%	1,394
PINELLAS	2,399	558	18.87%	2,957
POLK	1,267	401	24.04%	1,668
PUTNAM	67	18	21.18%	85
SANTA ROSA	155	197	55.97%	352
SARASOTA	963	250	20.61%	1,213
SEMINOLE	700	223	24.16%	923
ST. JOHNS	214	116	35.15%	330
ST. LUCIE	692	182	20.82%	874
SUMTER	252	95	27.38%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	63	57	47.50%	120
VOLUSIA	1,113	476	29.96%	1,589
WALTON	78	39	33.33%	117
WASHINGTON	47	12	20.34%	59
