County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,626	14,131	23.26%	60,757
ALACHUA	1,441	273	15.93%	1,714
BAKER	132	492	78.85%	624
BAY	456	119	20.70%	575
BRADFORD	5	5	50.00%	10
BREVARD	1,235	413	25.06%	1,648
BROWARD	4,225	985	18.91%	5,210
CALHOUN	6	4	40.00%	10
CHARLOTTE	459	248	35.08%	707
CITRUS	226	70	23.65%	296
CLAY	471	80	14.52%	551
COLLIER	723	175	19.49%	898
COLUMBIA	110	0	0.00%	110
DESOTO	27	28	50.91%	55
DUVAL	2,761	980	26.20%	3,741
ESCAMBIA	1,062	433	28.96%	1,495
FLAGLER	85	14	14.14%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	781	168	17.70%	949
GULF	9	12	57.14%	21
HARDEE	23	2	8.00%	25
HENDRY	19	10	34.48%	29
HERNANDO	526	200	27.55%	726
HIGHLANDS	209	51	19.62%	260
HILLSBOROUGH	3,107	607	16.34%	3,714
HOLMES	3	17	85.00%	20
INDIAN RIVER	319	157	32.98%	476
JACKSON	52	51	49.51%	103
LAKE	692	216	23.79%	908
LEE	1,447	338	18.94%	1,785
LEON	769	118	13.30%	887
MADISON	6	9	60.00%	15
MANATEE	641	114	15.10%	755
MARION	791	119	13.08%	910
MARTIN	222	273	55.15%	495
MIAMI-DADE	6,757	1,679	19.90%	8,436
MONROE	79	27	25.47%	106
NASSAU	33	35	51.47%	68
OKALOOSA	382	69	15.30%	451
OKEECHOBEE	58	42	42.00%	100
ORANGE	3,415	961	21.96%	4,376
OSCEOLA	877	276	23.94%	1,153
PALM BEACH	2,908	1,340	31.54%	4,248
PASCO	1,099	281	20.36%	1,380
PINELLAS	2,324	589	20.22%	2,913
POLK	1,346	351	20.68%	1,697
PUTNAM	62	22	26.19%	84
SANTA ROSA	137	211	60.63%	348
SARASOTA	928	251	21.29%	1,179
SEMINOLE	762	172	18.42%	934
ST. JOHNS	218	127	36.81%	345
ST. LUCIE	672	201	23.02%	873
SUMTER	245	102	29.39%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	61	56	47.86%	117
VOLUSIA	1,098	480	30.42%	1,578
WALTON	72	45	38.46%	117
WASHINGTON	47	12	20.34%	59
