County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	49,794	12,207	19.69%	62,001
ALACHUA	1,550	228	12.82%	1,778
BAKER	512	113	18.08%	625
BAY	489	87	15.10%	576
BRADFORD	5	5	50.00%	10
BREVARD	1,250	398	24.15%	1,648
BROWARD	4,507	847	15.82%	5,354
CALHOUN	8	2	20.00%	10
CHARLOTTE	480	153	24.17%	633
CITRUS	257	56	17.89%	313
CLAY	493	90	15.44%	583
COLLIER	762	145	15.99%	907
COLUMBIA	103	0	0.00%	103
DESOTO	41	17	29.31%	58
DUVAL	2,985	762	20.34%	3,747
ESCAMBIA	1,097	369	25.17%	1,466
FLAGLER	86	13	13.13%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	569	384	40.29%	953
GULF	10	11	52.38%	21
HARDEE	26	0	0.00%	26
HENDRY	16	13	44.83%	29
HERNANDO	575	172	23.03%	747
HIGHLANDS	232	30	11.45%	262
HILLSBOROUGH	3,525	588	14.30%	4,113
HOLMES	11	9	45.00%	20
INDIAN RIVER	347	112	24.40%	459
JACKSON	38	58	60.42%	96
LAKE	740	195	20.86%	935
LEE	1,608	217	11.89%	1,825
LEON	781	89	10.23%	870
MADISON	14	2	12.50%	16
MANATEE	709	70	8.99%	779
MARION	845	88	9.43%	933
MARTIN	288	142	33.02%	430
MIAMI-DADE	6,951	1,696	19.61%	8,647
MONROE	70	99	58.58%	169
NASSAU	37	31	45.59%	68
OKALOOSA	385	71	15.57%	456
OKEECHOBEE	54	46	46.00%	100
ORANGE	3,505	978	21.82%	4,483
OSCEOLA	920	253	21.57%	1,173
PALM BEACH	3,041	931	23.44%	3,972
PASCO	1,195	248	17.19%	1,443
PINELLAS	2,437	906	27.10%	3,343
POLK	1,439	272	15.90%	1,711
PUTNAM	71	13	15.48%	84
SANTA ROSA	126	125	49.80%	251
SARASOTA	1,216	108	8.16%	1,324
SEMINOLE	767	202	20.85%	969
ST. JOHNS	223	110	33.03%	333
ST. LUCIE	798	83	9.42%	881
SUMTER	275	72	20.75%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	52	23	30.67%	75
VOLUSIA	1,165	382	24.69%	1,547
WALTON	61	54	46.96%	115
WASHINGTON	40	19	32.20%	59
