County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,463	16,392	26.94%	60,855
ALACHUA	1,406	310	18.07%	1,716
BAKER	476	149	23.84%	625
BAY	406	141	25.78%	547
BRADFORD	5	5	50.00%	10
BREVARD	1,193	436	26.76%	1,629
BROWARD	4,007	1,103	21.59%	5,110
CALHOUN	7	3	30.00%	10
CHARLOTTE	450	161	26.35%	611
CITRUS	213	87	29.00%	300
CLAY	459	89	16.24%	548
COLLIER	676	164	19.52%	840
COLUMBIA	99	0	0.00%	99
DESOTO	12	43	78.18%	55
DUVAL	2,600	1,007	27.92%	3,607
ESCAMBIA	987	466	32.07%	1,453
FLAGLER	88	11	11.11%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	602	351	36.83%	953
GULF	5	16	76.19%	21
HARDEE	21	4	16.00%	25
HENDRY	10	23	69.70%	33
HERNANDO	487	238	32.83%	725
HIGHLANDS	191	68	26.25%	259
HILLSBOROUGH	3,136	844	21.21%	3,980
HOLMES	20	0	0.00%	20
INDIAN RIVER	332	121	26.71%	453
JACKSON	46	46	50.00%	92
LAKE	644	259	28.68%	903
LEE	1,406	409	22.53%	1,815
LEON	713	145	16.90%	858
MADISON	6	9	60.00%	15
MANATEE	664	104	13.54%	768
MARION	724	173	19.29%	897
MARTIN	239	191	44.42%	430
MIAMI-DADE	6,034	2,558	29.77%	8,592
MONROE	83	99	54.40%	182
NASSAU	36	32	47.06%	68
OKALOOSA	355	100	21.98%	455
OKEECHOBEE	65	35	35.00%	100
ORANGE	3,165	1,211	27.67%	4,376
OSCEOLA	832	314	27.40%	1,146
PALM BEACH	2,726	1,426	34.34%	4,152
PASCO	1,094	257	19.02%	1,351
PINELLAS	2,260	930	29.15%	3,190
POLK	1,246	429	25.61%	1,675
PUTNAM	61	23	27.38%	84
SANTA ROSA	113	227	66.76%	340
SARASOTA	1,022	245	19.34%	1,267
SEMINOLE	686	249	26.63%	935
ST. JOHNS	170	161	48.64%	331
ST. LUCIE	714	161	18.40%	875
SUMTER	252	95	27.38%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	56	29	34.12%	85
VOLUSIA	1,062	533	33.42%	1,595
WALTON	51	66	56.41%	117
WASHINGTON	45	14	23.73%	59
