County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	50,373	11,851	19.05%	62,224
ALACHUA	1,631	164	9.14%	1,795
BAKER	489	136	21.76%	625
BAY	484	82	14.49%	566
BRADFORD	5	5	50.00%	10
BREVARD	1,288	368	22.22%	1,656
BROWARD	4,568	899	16.44%	5,467
CALHOUN	7	3	30.00%	10
CHARLOTTE	445	156	25.96%	601
CITRUS	219	90	29.13%	309
CLAY	493	70	12.43%	563
COLLIER	814	94	10.35%	908
COLUMBIA	98	0	0.00%	98
DESOTO	31	26	45.61%	57
DUVAL	2,974	768	20.52%	3,742
ESCAMBIA	1,127	360	24.21%	1,487
FLAGLER	93	8	7.92%	101
FRANKLIN	2	13	86.67%	15
GADSDEN	632	321	33.68%	953
GULF	10	11	52.38%	21
HARDEE	25	0	0.00%	25
HENDRY	5	24	82.76%	29
HERNANDO	582	145	19.94%	727
HIGHLANDS	251	33	11.62%	284
HILLSBOROUGH	3,569	602	14.43%	4,171
HOLMES	18	2	10.00%	20
INDIAN RIVER	394	82	17.23%	476
JACKSON	43	53	55.21%	96
LAKE	750	190	20.21%	940
LEE	1,644	212	11.42%	1,856
LEON	804	95	10.57%	899
MADISON	7	8	53.33%	15
MANATEE	687	110	13.80%	797
MARION	916	82	8.22%	998
MARTIN	310	117	27.40%	427
MIAMI-DADE	6,887	1,775	20.49%	8,662
MONROE	82	87	51.48%	169
NASSAU	42	26	38.24%	68
OKALOOSA	394	69	14.90%	463
OKEECHOBEE	59	41	41.00%	100
ORANGE	3,606	994	21.61%	4,600
OSCEOLA	982	171	14.83%	1,153
PALM BEACH	3,084	956	23.66%	4,040
PASCO	1,186	259	17.92%	1,445
PINELLAS	2,475	708	22.24%	3,183
POLK	1,448	273	15.86%	1,721
PUTNAM	66	18	21.43%	84
SANTA ROSA	148	121	44.98%	269
SARASOTA	1,139	131	10.31%	1,270
SEMINOLE	752	204	21.34%	956
ST. JOHNS	218	114	34.34%	332
ST. LUCIE	810	82	9.19%	892
SUMTER	269	78	22.48%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	49	26	34.67%	75
VOLUSIA	1,143	323	22.03%	1,466
WALTON	72	42	36.84%	114
WASHINGTON	43	16	27.12%	59
