County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,891	16,129	26.43%	61,020
ALACHUA	1,502	237	13.63%	1,739
BAKER	509	116	18.56%	625
BAY	447	96	17.68%	543
BRADFORD	5	5	50.00%	10
BREVARD	1,103	528	32.37%	1,631
BROWARD	4,057	1,124	21.69%	5,181
CALHOUN	20	0	0.00%	20
CHARLOTTE	416	187	31.01%	603
CITRUS	251	43	14.63%	294
CLAY	465	94	16.82%	559
COLLIER	700	152	17.84%	852
COLUMBIA	102	0	0.00%	102
DESOTO	31	24	43.64%	55
DUVAL	2,654	1,097	29.25%	3,751
ESCAMBIA	1,064	392	26.92%	1,456
FLAGLER	93	6	6.06%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	568	385	40.40%	953
GULF	5	16	76.19%	21
HARDEE	23	2	8.00%	25
HENDRY	6	23	79.31%	29
HERNANDO	536	199	27.07%	735
HIGHLANDS	227	34	13.03%	261
HILLSBOROUGH	3,181	961	23.20%	4,142
HOLMES	14	6	30.00%	20
INDIAN RIVER	315	141	30.92%	456
JACKSON	55	46	45.54%	101
LAKE	644	265	29.15%	909
LEE	1,456	345	19.16%	1,801
LEON	744	113	13.19%	857
MADISON	7	8	53.33%	15
MANATEE	618	138	18.25%	756
MARION	760	133	14.89%	893
MARTIN	270	158	36.92%	428
MIAMI-DADE	6,115	2,548	29.41%	8,663
MONROE	82	88	51.76%	170
NASSAU	42	26	38.24%	68
OKALOOSA	335	114	25.39%	449
OKEECHOBEE	50	50	50.00%	100
ORANGE	3,240	1,163	26.41%	4,403
OSCEOLA	827	312	27.39%	1,139
PALM BEACH	2,684	1,246	31.70%	3,930
PASCO	1,088	261	19.35%	1,349
PINELLAS	2,252	1,007	30.90%	3,259
POLK	1,201	479	28.51%	1,680
PUTNAM	55	29	34.52%	84
SANTA ROSA	126	224	64.00%	350
SARASOTA	1,009	175	14.78%	1,184
SEMINOLE	710	220	23.66%	930
ST. JOHNS	170	161	48.64%	331
ST. LUCIE	648	203	23.85%	851
SUMTER	252	95	27.38%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	46	30	39.47%	76
VOLUSIA	1,006	528	34.42%	1,534
WALTON	52	63	54.78%	115
WASHINGTON	49	10	16.95%	59
