County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,133	11,728	19.59%	59,861
ALACHUA	1,379	270	16.37%	1,649
BAKER	524	98	15.76%	622
BAY	420	110	20.75%	530
BREVARD	1,226	396	24.41%	1,622
BROWARD	4,567	964	17.43%	5,531
CALHOUN	5	5	50.00%	10
CHARLOTTE	479	233	32.72%	712
CITRUS	230	88	27.67%	318
CLAY	489	70	12.52%	559
COLLIER	746	148	16.55%	894
COLUMBIA	108	17	13.60%	125
DESOTO	38	17	30.91%	55
DUVAL	3,018	754	19.99%	3,772
ESCAMBIA	1,025	323	23.96%	1,348
FLAGLER	108	4	3.57%	112
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	6	40	86.96%	46
HARDEE	22	3	12.00%	25
HENDRY	13	16	55.17%	29
HERNANDO	578	165	22.21%	743
HIGHLANDS	202	79	28.11%	281
HILLSBOROUGH	3,344	570	14.56%	3,914
HOLMES	10	10	50.00%	20
INDIAN RIVER	323	147	31.28%	470
JACKSON	55	27	32.93%	82
LAKE	762	135	15.05%	897
LEE	1,533	212	12.15%	1,745
LEON	735	162	18.06%	897
MADISON	8	7	46.67%	15
MANATEE	621	174	21.89%	795
MARION	776	130	14.35%	906
MARTIN	245	250	50.51%	495
MIAMI-DADE	6,819	1,697	19.93%	8,516
MONROE	81	34	29.57%	115
NASSAU	43	43	50.00%	86
OKALOOSA	376	83	18.08%	459
OKEECHOBEE	48	52	52.00%	100
ORANGE	3,509	536	13.25%	4,045
OSCEOLA	871	145	14.27%	1,016
PALM BEACH	3,119	1,073	25.60%	4,192
PASCO	1,224	177	12.63%	1,401
PINELLAS	2,512	520	17.15%	3,032
POLK	1,380	225	14.02%	1,605
PUTNAM	66	18	21.43%	84
SANTA ROSA	140	194	58.08%	334
SARASOTA	1,060	238	18.34%	1,298
SEMINOLE	766	147	16.10%	913
ST. JOHNS	186	145	43.81%	331
ST. LUCIE	767	149	16.27%	916
SUMTER	222	125	36.02%	347
SUWANNEE	0	0		0
TAYLOR	6	10	62.50%	16
UNION	55	68	55.28%	123
VOLUSIA	1,132	288	20.28%	1,420
WALTON	110	109	49.77%	219
WASHINGTON	45	14	23.73%	59
