County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,037	1,155	18.65%	6,192	375	243	39.32%	618
ALACHUA	268	40	12.99%	308	35	12	25.53%	47
BAKER	0	0		0	0	0		0
BAY	55	15	21.43%	70	3	1	25.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	134	41	23.43%	175	0	0		0
BROWARD	468	52	10.00%	520	37	22	37.29%	59
CALHOUN	0	0		0	0	0		0
CHARLOTTE	43	4	8.51%	47	0	0		0
CITRUS	33	7	17.50%	40	0	0		0
CLAY	37	5	11.90%	42	4	10	71.43%	14
COLLIER	67	18	21.18%	85	0	0		0
COLUMBIA	15	7	31.82%	22	0	0		0
DESOTO	4	4	50.00%	8	0	0		0
DUVAL	340	101	22.90%	441	22	18	45.00%	40
ESCAMBIA	140	7	4.76%	147	7	9	56.25%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	52	10	16.13%	62	0	0		0
HIGHLANDS	27	5	15.63%	32	0	0		0
HILLSBOROUGH	335	62	15.62%	397	25	15	37.50%	40
HOLMES	0	0		0	0	0		0
INDIAN RIVER	32	1	3.03%	33	0	0		0
JACKSON	9	6	40.00%	15	0	0		0
LAKE	73	31	29.81%	104	0	0		0
LEE	107	34	24.11%	141	65	21	24.42%	86
LEON	62	10	13.89%	72	0	9	100.00%	9
MADISON	0	0		0	0	0		0
MANATEE	56	12	17.65%	68	0	0		0
MARION	72	11	13.25%	83	0	0		0
MARTIN	7	32	82.05%	39	0	0		0
MIAMI-DADE	862	131	13.19%	993	58	42	42.00%	100
MONROE	9	0	0.00%	9	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	51	3	5.56%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	280	92	24.73%	372	64	48	42.86%	112
OSCEOLA	97	33	25.38%	130	0	6	100.00%	6
PALM BEACH	306	112	26.79%	418	17	15	46.88%	32
PASCO	121	12	9.02%	133	0	0		0
PINELLAS	235	58	19.80%	293	34	8	19.05%	42
POLK	145	25	14.71%	170	0	0		0
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	12	8	40.00%	20	0	0		0
SARASOTA	79	29	26.85%	108	0	0		0
SEMINOLE	63	11	14.86%	74	0	0		0
ST. JOHNS	19	25	56.82%	44	0	0		0
ST. LUCIE	74	16	17.78%	90	4	2	33.33%	6
SUMTER	39	1	2.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	153	73	32.30%	226	0	5	100.00%	5
WALTON	16	7	30.43%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
