County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,133	14,722	23.80%	61,855
ALACHUA	1,486	301	16.84%	1,787
BAKER	486	139	22.24%	625
BAY	452	96	17.52%	548
BRADFORD	5	5	50.00%	10
BREVARD	1,185	468	28.31%	1,653
BROWARD	4,246	1,056	19.92%	5,302
CALHOUN	3	7	70.00%	10
CHARLOTTE	433	186	30.05%	619
CITRUS	219	89	28.90%	308
CLAY	458	76	14.23%	534
COLLIER	805	115	12.50%	920
COLUMBIA	101	0	0.00%	101
DESOTO	33	25	43.10%	58
DUVAL	2,698	867	24.32%	3,565
ESCAMBIA	1,055	408	27.89%	1,463
FLAGLER	88	11	11.11%	99
FRANKLIN	1	12	92.31%	13
GADSDEN	672	281	29.49%	953
GULF	6	15	71.43%	21
HARDEE	24	1	4.00%	25
HENDRY	10	19	65.52%	29
HERNANDO	535	195	26.71%	730
HIGHLANDS	223	34	13.23%	257
HILLSBOROUGH	3,192	901	22.01%	4,093
HOLMES	10	10	50.00%	20
INDIAN RIVER	327	134	29.07%	461
JACKSON	31	59	65.56%	90
LAKE	659	231	25.96%	890
LEE	1,538	305	16.55%	1,843
LEON	739	117	13.67%	856
MADISON	8	4	33.33%	12
MANATEE	680	109	13.81%	789
MARION	823	110	11.79%	933
MARTIN	276	147	34.75%	423
MIAMI-DADE	6,290	2,288	26.67%	8,578
MONROE	84	89	51.45%	173
NASSAU	38	30	44.12%	68
OKALOOSA	381	79	17.17%	460
OKEECHOBEE	56	44	44.00%	100
ORANGE	3,409	1,279	27.28%	4,688
OSCEOLA	869	293	25.22%	1,162
PALM BEACH	2,971	1,105	27.11%	4,076
PASCO	1,202	250	17.22%	1,452
PINELLAS	2,303	826	26.40%	3,129
POLK	1,340	364	21.36%	1,704
PUTNAM	55	29	34.52%	84
SANTA ROSA	109	90	45.23%	199
SARASOTA	1,136	174	13.28%	1,310
SEMINOLE	710	264	27.10%	974
ST. JOHNS	175	157	47.29%	332
ST. LUCIE	707	141	16.63%	848
SUMTER	494	160	24.46%	654
SUWANNEE	0	0		0
TAYLOR	11	37	77.08%	48
UNION	53	17	24.29%	70
VOLUSIA	1,127	406	26.48%	1,533
WALTON	59	55	48.25%	114
WASHINGTON	47	12	20.34%	59
