County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	50,329	12,527	19.93%	62,856
ALACHUA	1,529	221	12.63%	1,750
BAKER	483	142	22.72%	625
BAY	482	77	13.77%	559
BRADFORD	5	5	50.00%	10
BREVARD	1,228	419	25.44%	1,647
BROWARD	4,623	889	16.13%	5,512
CALHOUN	2	8	80.00%	10
CHARLOTTE	479	141	22.74%	620
CITRUS	225	83	26.95%	308
CLAY	469	79	14.42%	548
COLLIER	851	127	12.99%	978
COLUMBIA	109	0	0.00%	109
DESOTO	31	27	46.55%	58
DUVAL	2,960	794	21.15%	3,754
ESCAMBIA	1,096	367	25.09%	1,463
FLAGLER	94	5	5.05%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	681	272	28.54%	953
GULF	3	18	85.71%	21
HARDEE	24	2	7.69%	26
HENDRY	9	20	68.97%	29
HERNANDO	569	176	23.62%	745
HIGHLANDS	262	17	6.09%	279
HILLSBOROUGH	3,383	833	19.76%	4,216
HOLMES	12	8	40.00%	20
INDIAN RIVER	366	94	20.43%	460
JACKSON	37	41	52.56%	78
LAKE	775	163	17.38%	938
LEE	1,638	192	10.49%	1,830
LEON	787	85	9.75%	872
MADISON	11	4	26.67%	15
MANATEE	702	97	12.14%	799
MARION	878	85	8.83%	963
MARTIN	307	112	26.73%	419
MIAMI-DADE	6,654	1,985	22.98%	8,639
MONROE	80	93	53.76%	173
NASSAU	33	35	51.47%	68
OKALOOSA	392	76	16.24%	468
OKEECHOBEE	59	41	41.00%	100
ORANGE	3,613	1,106	23.44%	4,719
OSCEOLA	957	200	17.29%	1,157
PALM BEACH	3,187	976	23.44%	4,163
PASCO	1,248	222	15.10%	1,470
PINELLAS	2,487	660	20.97%	3,147
POLK	1,480	282	16.00%	1,762
PUTNAM	67	17	20.24%	84
SANTA ROSA	127	69	35.20%	196
SARASOTA	1,148	168	12.77%	1,316
SEMINOLE	811	129	13.72%	940
ST. JOHNS	202	130	39.16%	332
ST. LUCIE	757	100	11.67%	857
SUMTER	489	165	25.23%	654
SUWANNEE	0	0		0
TAYLOR	11	48	81.36%	59
UNION	50	20	28.57%	70
VOLUSIA	1,242	339	21.44%	1,581
WALTON	77	37	32.46%	114
WASHINGTON	46	13	22.03%	59
