County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,053	1,102	17.90%	6,155	447	237	34.65%	684
ALACHUA	291	17	5.52%	308	37	10	21.28%	47
BAKER	0	0		0	0	0		0
BAY	60	4	6.25%	64	3	0	0.00%	3
BRADFORD	0	0		0	0	0		0
BREVARD	119	55	31.61%	174	0	0		0
BROWARD	427	61	12.50%	488	48	37	43.53%	85
CALHOUN	0	0		0	0	0		0
CHARLOTTE	47	5	9.62%	52	0	0		0
CITRUS	35	5	12.50%	40	0	0		0
CLAY	37	13	26.00%	50	1	3	75.00%	4
COLLIER	63	22	25.88%	85	0	0		0
COLUMBIA	16	0	0.00%	16	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	346	87	20.09%	433	23	5	17.86%	28
ESCAMBIA	120	21	14.89%	141	10	6	37.50%	16
FLAGLER	14	4	22.22%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	3	100.00%	3	0	0		0
HERNANDO	51	13	20.31%	64	0	0		0
HIGHLANDS	27	4	12.90%	31	0	0		0
HILLSBOROUGH	319	78	19.65%	397	22	21	48.84%	43
HOLMES	0	0		0	0	0		0
INDIAN RIVER	26	3	10.34%	29	0	0		0
JACKSON	4	3	42.86%	7	0	0		0
LAKE	78	26	25.00%	104	0	0		0
LEE	127	14	9.93%	141	70	16	18.60%	86
LEON	67	5	6.94%	72	5	4	44.44%	9
MADISON	0	0		0	0	0		0
MANATEE	61	6	8.96%	67	0	0		0
MARION	82	14	14.58%	96	0	0		0
MARTIN	22	2	8.33%	24	0	0		0
MIAMI-DADE	789	150	15.97%	939	74	60	44.78%	134
MONROE	11	6	35.29%	17	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	51	4	7.27%	55	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	307	92	23.06%	399	82	44	34.92%	126
OSCEOLA	97	27	21.77%	124	0	0		0
PALM BEACH	302	109	26.52%	411	15	17	53.13%	32
PASCO	126	17	11.89%	143	0	0		0
PINELLAS	246	77	23.84%	323	41	5	10.87%	46
POLK	158	25	13.66%	183	11	3	21.43%	14
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	12	3	20.00%	15	0	0		0
SARASOTA	85	32	27.35%	117	0	0		0
SEMINOLE	64	9	12.33%	73	0	0		0
ST. JOHNS	24	20	45.45%	44	0	0		0
ST. LUCIE	77	13	14.44%	90	4	2	33.33%	6
SUMTER	36	4	10.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	5	100.00%	5	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	178	39	17.97%	217	1	4	80.00%	5
WALTON	21	1	4.55%	22	0	0		0
WASHINGTON	0	0		0	0	0		0
