County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,511	13,484	21.75%	61,995
ALACHUA	1,542	214	12.19%	1,756
BAKER	518	107	17.12%	625
BAY	419	123	22.69%	542
BRADFORD	5	5	50.00%	10
BREVARD	1,243	394	24.07%	1,637
BROWARD	4,259	1,017	19.28%	5,276
CALHOUN	6	4	40.00%	10
CHARLOTTE	472	144	23.38%	616
CITRUS	230	80	25.81%	310
CLAY	484	82	14.49%	566
COLLIER	762	136	15.14%	898
COLUMBIA	109	0	0.00%	109
DESOTO	23	35	60.34%	58
DUVAL	2,848	898	23.97%	3,746
ESCAMBIA	1,105	351	24.11%	1,456
FLAGLER	92	7	7.07%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	555	398	41.76%	953
GULF	9	16	64.00%	25
HARDEE	25	0	0.00%	25
HENDRY	8	21	72.41%	29
HERNANDO	520	207	28.47%	727
HIGHLANDS	220	39	15.06%	259
HILLSBOROUGH	3,397	824	19.52%	4,221
HOLMES	15	5	25.00%	20
INDIAN RIVER	363	100	21.60%	463
JACKSON	47	62	56.88%	109
LAKE	726	200	21.60%	926
LEE	1,557	247	13.69%	1,804
LEON	749	111	12.91%	860
MADISON	11	4	26.67%	15
MANATEE	742	84	10.17%	826
MARION	834	102	10.90%	936
MARTIN	315	127	28.73%	442
MIAMI-DADE	6,720	1,907	22.11%	8,627
MONROE	63	106	62.72%	169
NASSAU	45	23	33.82%	68
OKALOOSA	367	91	19.87%	458
OKEECHOBEE	60	40	40.00%	100
ORANGE	3,386	1,048	23.64%	4,434
OSCEOLA	878	287	24.64%	1,165
PALM BEACH	3,068	934	23.34%	4,002
PASCO	1,152	287	19.94%	1,439
PINELLAS	2,425	883	26.69%	3,308
POLK	1,432	266	15.67%	1,698
PUTNAM	73	11	13.10%	84
SANTA ROSA	117	137	53.94%	254
SARASOTA	1,197	109	8.35%	1,306
SEMINOLE	714	230	24.36%	944
ST. JOHNS	168	163	49.24%	331
ST. LUCIE	759	105	12.15%	864
SUMTER	270	77	22.19%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	51	24	32.00%	75
VOLUSIA	1,256	511	28.92%	1,767
WALTON	58	57	49.57%	115
WASHINGTON	39	20	33.90%	59
