County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,620	1,408	23.36%	6,028	431	237	35.48%	668
ALACHUA	264	44	14.29%	308	41	6	12.77%	47
BAKER	0	0		0	0	0		0
BAY	55	7	11.29%	62	3	1	25.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	128	38	22.89%	166	0	0		0
BROWARD	340	104	23.42%	444	29	38	56.72%	67
CALHOUN	0	0		0	0	0		0
CHARLOTTE	49	2	3.92%	51	0	0		0
CITRUS	33	7	17.50%	40	0	0		0
CLAY	39	11	22.00%	50	1	3	75.00%	4
COLLIER	54	31	36.47%	85	0	0		0
COLUMBIA	7	0	0.00%	7	0	0		0
DESOTO	2	6	75.00%	8	0	0		0
DUVAL	356	81	18.54%	437	26	14	35.00%	40
ESCAMBIA	137	4	2.84%	141	8	8	50.00%	16
FLAGLER	13	5	27.78%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	44	18	29.03%	62	0	0		0
HIGHLANDS	21	7	25.00%	28	0	0		0
HILLSBOROUGH	311	68	17.94%	379	21	22	51.16%	43
HOLMES	0	0		0	0	0		0
INDIAN RIVER	20	7	25.93%	27	0	0		0
JACKSON	7	3	30.00%	10	0	0		0
LAKE	72	32	30.77%	104	0	0		0
LEE	105	33	23.91%	138	68	18	20.93%	86
LEON	70	2	2.78%	72	3	6	66.67%	9
MADISON	0	0		0	0	0		0
MANATEE	56	12	17.65%	68	0	0		0
MARION	88	5	5.38%	93	0	0		0
MARTIN	14	25	64.10%	39	0	0		0
MIAMI-DADE	710	236	24.95%	946	85	43	33.59%	128
MONROE	5	8	61.54%	13	0	0		0
NASSAU	5	3	37.50%	8	0	0		0
OKALOOSA	47	7	12.96%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	274	130	32.18%	404	76	49	39.20%	125
OSCEOLA	82	40	32.79%	122	0	0		0
PALM BEACH	258	145	35.98%	403	23	9	28.13%	32
PASCO	112	11	8.94%	123	0	0		0
PINELLAS	249	50	16.72%	299	37	5	11.90%	42
POLK	136	22	13.92%	158	4	10	71.43%	14
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	10	12	54.55%	22	0	0		0
SARASOTA	54	54	50.00%	108	0	0		0
SEMINOLE	68	5	6.85%	73	0	0		0
ST. JOHNS	22	22	50.00%	44	0	0		0
ST. LUCIE	69	20	22.47%	89	6	0	0.00%	6
SUMTER	36	4	10.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	171	69	28.75%	240	0	5	100.00%	5
WALTON	9	14	60.87%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
