County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,596	1,409	23.46%	6,005	379	219	36.62%	598
ALACHUA	273	35	11.36%	308	40	7	14.89%	47
BAKER	0	0		0	0	0		0
BAY	50	12	19.35%	62	1	3	75.00%	4
BREVARD	111	55	33.13%	166	0	0		0
BROWARD	363	115	24.06%	478	39	28	41.79%	67
CALHOUN	0	0		0	0	0		0
CHARLOTTE	32	23	41.82%	55	0	0		0
CITRUS	31	9	22.50%	40	0	0		0
CLAY	31	11	26.19%	42	4	2	33.33%	6
COLLIER	60	19	24.05%	79	0	0		0
COLUMBIA	16	2	11.11%	18	0	0		0
DESOTO	4	4	50.00%	8	0	0		0
DUVAL	304	104	25.49%	408	23	17	42.50%	40
ESCAMBIA	98	14	12.50%	112	5	11	68.75%	16
FLAGLER	13	5	27.78%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	50	19	27.54%	69	0	0		0
HIGHLANDS	16	14	46.67%	30	0	0		0
HILLSBOROUGH	356	81	18.54%	437	14	30	68.18%	44
HOLMES	0	0		0	0	0		0
INDIAN RIVER	15	17	53.13%	32	0	0		0
JACKSON	1	5	83.33%	6	0	0		0
LAKE	66	16	19.51%	82	0	0		0
LEE	116	31	21.09%	147	59	32	35.16%	91
LEON	53	19	26.39%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	64	35	35.35%	99	0	0		0
MARION	75	33	30.56%	108	0	0		0
MARTIN	14	24	63.16%	38	0	0		0
MIAMI-DADE	739	240	24.51%	979	71	13	15.48%	84
MONROE	4	10	71.43%	14	0	0		0
NASSAU	5	3	37.50%	8	0	0		0
OKALOOSA	50	6	10.71%	56	0	0		0
OKEECHOBEE	7	1	12.50%	8	0	0		0
ORANGE	243	63	20.59%	306	64	37	36.63%	101
OSCEOLA	75	20	21.05%	95	0	6	100.00%	6
PALM BEACH	333	73	17.98%	406	16	15	48.39%	31
PASCO	99	34	25.56%	133	0	0		0
PINELLAS	276	50	15.34%	326	39	2	4.88%	41
POLK	108	53	32.92%	161	0	0		0
PUTNAM	7	3	30.00%	10	0	0		0
SANTA ROSA	7	13	65.00%	20	0	0		0
SARASOTA	70	33	32.04%	103	0	0		0
SEMINOLE	59	11	15.71%	70	0	0		0
ST. JOHNS	17	27	61.36%	44	0	0		0
ST. LUCIE	82	8	8.89%	90	2	4	66.67%	6
SUMTER	31	9	22.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	161	38	19.10%	199	0	5	100.00%	5
WALTON	11	12	52.17%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
