County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,288	14,181	22.70%	62,469
ALACHUA	1,492	293	16.41%	1,785
BAKER	479	146	23.36%	625
BAY	460	87	15.90%	547
BRADFORD	5	5	50.00%	10
BREVARD	1,250	412	24.79%	1,662
BROWARD	4,330	1,020	19.07%	5,350
CALHOUN	3	7	70.00%	10
CHARLOTTE	461	145	23.93%	606
CITRUS	228	75	24.75%	303
CLAY	486	69	12.43%	555
COLLIER	815	114	12.27%	929
COLUMBIA	96	0	0.00%	96
DESOTO	19	40	67.80%	59
DUVAL	2,715	1,032	27.54%	3,747
ESCAMBIA	1,085	388	26.34%	1,473
FLAGLER	92	7	7.07%	99
FRANKLIN	4	11	73.33%	15
GADSDEN	681	272	28.54%	953
GULF	4	17	80.95%	21
HARDEE	25	0	0.00%	25
HENDRY	5	24	82.76%	29
HERNANDO	540	192	26.23%	732
HIGHLANDS	238	27	10.19%	265
HILLSBOROUGH	3,231	924	22.24%	4,155
HOLMES	13	7	35.00%	20
INDIAN RIVER	381	71	15.71%	452
JACKSON	45	43	48.86%	88
LAKE	983	307	23.80%	1,290
LEE	1,528	301	16.46%	1,829
LEON	707	137	16.23%	844
MADISON	12	3	20.00%	15
MANATEE	682	92	11.89%	774
MARION	867	92	9.59%	959
MARTIN	294	138	31.94%	432
MIAMI-DADE	6,521	2,194	25.17%	8,715
MONROE	74	95	56.21%	169
NASSAU	46	22	32.35%	68
OKALOOSA	356	104	22.61%	460
OKEECHOBEE	52	48	48.00%	100
ORANGE	3,423	1,123	24.70%	4,546
OSCEOLA	894	262	22.66%	1,156
PALM BEACH	2,962	1,071	26.56%	4,033
PASCO	1,193	267	18.29%	1,460
PINELLAS	2,418	728	23.14%	3,146
POLK	1,382	332	19.37%	1,714
PUTNAM	57	27	32.14%	84
SANTA ROSA	87	153	63.75%	240
SARASOTA	1,087	179	14.14%	1,266
SEMINOLE	723	235	24.53%	958
ST. JOHNS	207	125	37.65%	332
ST. LUCIE	712	158	18.16%	870
SUMTER	525	129	19.72%	654
SUWANNEE	0	0		0
TAYLOR	10	2	16.67%	12
UNION	55	15	21.43%	70
VOLUSIA	1,135	358	23.98%	1,493
WALTON	67	46	40.71%	113
WASHINGTON	46	10	17.86%	56
